";Based on the CapEx KPI Breakdown by sector - NACE 4 digits level (code and label)” ;TOTAL (CCM + CCA) ;SMEs Non-Financial corporates (Subject to NFRD) [Gross] carrying amount ;and other NFC not subject to NFRD [Gross] carrying amount
;;n€;Of which environmentally sustainable (CCM + CCA + WTR +CE + PPC + BIO);Of which environmentally sustainable (CCM + CCA WTR + CE + PPC + BIO)
93;29.10 Manufacture of motor vehicles;375.7;120.2;;
94;29.20 Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers;14.9;;; 
95;30.11 Building of ships and floating structures;15.4;;; 
96;30.12 Building of pleasure and sporting boats;;; 
97;30.20 Manufacture of railway locomotives and rolling stock;71.0;39.2;; 
98;30.40 Manufacture of military fighting vehicles;44.2;;; 
99;30.99 Manufacture of other transport equipment n.e.c.;10.4;0.1;; 
100;31.09 Manufacture of other furniture;0.5;;; 
101;32.40 Manufacture of games and toys;0.2;;; 
102;32.50 Manufacture of medical and dental instruments and supplies;42.6;13.5;; 
103;32.99 Other manufacturing n.e.c.;7.0;0.0;; 
104;35.11 Production of electricity;3,321.5;3090.3;; 
105;35.12 Transmission of electricity;;; 
106;35.14 Trade of electricity;;; 
107;35.30 Steam and air conditioning supply;0.8;;; 
108;36.00 Water collection, treatment and supply;5.4;3.4;; 
109;38.21 Treatment and disposal of non-hazardous waste;0.0;;; 
110;38.32 Recovery of sorted materials;0.5;;; 
111;39.00 Remediation activities and other waste management services;;; 
112;41.10 Development of building projects;57.8;;; 
113;41.20 Construction of residential and non-residential buildings;22.6;3.9;;"
