"; % (compared to total covered assets in the denominator)»; Proportion of total covered assets funding taxonomy relevant sectors (Taxonomy-aligned); ; ; ; Ofwhich Use of Proceeds; Ofwhich transi- tional; Of which enabling; Proportion of total assets covered
; GAR - Covered assets in both numerator and denominator; x; x; x; x; x; x
Loans and advances, debt securities and equity instruments not HfT; eligible for GAR calculation; 35.1; 2.3; 2.3; 0; 0; 33
1; Financial undertakings; 1.1; 0; 0; 0; 0; 3.6
2; Credit institutions; 0.8; ; ; ; ; 3.2
3; Loans and advances; 0.4; ; ; ; ; 1.9
4; Debt securities, including UoP; 0.3; ; ; ; ; 1.3
5; Equity instruments; ; ; x; ; ; 
6; Other financial corporations; 0.3; 0; 0; 0; 0; 0.4
7; of which investment firms; ; ; ; ; ; 0
8; Loans and advances; ; ; ; ; ; 0
9; Debt securities, including; ; ; ; ; ; 
10; Equity instruments; ; ; x; ; ; 
11; of which management companies; 0; ; ; ; ; 0.1
12; Loans and advances; 0; ; ; ; ; 0.1
13; Debt securities, including UoP; ; ; ; ; ; 0
14; Equity instruments; ; ; x; ; ; 
15; of which insurance undertakings; 0; ; ; ; ; 0
16; Loans and advances; 0; ; ; ; ; 0
17; Debt securities, including UoP; ; ; ; ; ; 
18; Equity instruments; ; ; x; ; ; 
19; Non-financial undertakings; 3.5; 0.9; 0.8; 0; 0; 3.6
20; Loans and advances; 3.4; 0.9; 0.8; 0; 0; 3.5
21; Debt securities, including UoP; 0.1; 0; 0; 0; 0; 0.2
22; Equity instruments; ; ; x; ; ; 
23; Households; 30.6; 1.5; 1.5; ; ; 24.1
24; of which loans collateralised by residential immovable property; 27.9; 1.3; 1.3; ; ; 19.9
25; of which building renovation loans; 1; ; ; ; ; 0.7
26; of which motor vehicle loans; 0; ; ; ; ; 0.1
27; Local governments financing; 0; ; ; ; ; 1.6
28; Housing financing; ; ; ; ; ; 
29; Other local government financing; 0; ; ; ; ; 1.6
30; Collateral obtained by taking possession: residential and commercial immovable properties; ; ; ; ; ; 
31; Total GAR assets; 35.1; 2.3; 2.3; 0; 0; 69.2"
