"; ;Of which Use of Proceeds;Of which transi- tional;Of which enabling; ; ;Of which Use of Proceeds;Of which enabling
;Based on the CapEx KPI % (compared to flow of total le assets) GAR Covered assets in both;Climate Change Mitigation (CCM) Proportion of total covered assets funding taxonomy relevant _ sectors (Taxonomy-eligible) Proportion of total covered assets funding taxonomy relevant sectors (Taxonomy-aligned);Climate Change Adaptation (CCA) Proportion of total covered assets fundi taxonomy relevant sectors (Taxonomy-el Proportion of total covered assets funding taxonomy relevant sectors (Taxonomy-aligned); ; ; ; ; 
; ; - numerator and denominator;x;x;x;x;x;x;x;x;
;Loans and advances, debt securities and equity instruments not HfT; ; ; ; ; ; ; ; ; ; 
1;eligible for GAR calculation;5.4;0.8;0.7;0;0;0;0;0;0
2;Financial undertakings;0.1;0;0; ; ; ; ; ; 
3;Credit institutions;0; ; ; ; ; ; ; ; 
4;Loans and advances;0; ; ; ; ; ; ; ; 
5;Debt securities, including UoP?;0; ; ; ; ; ; ; ; 
6;Equity instruments; ; ;x; ; ; ; ;x; 
7;Other financial corporations;0;0; ;0; ; ; ; ; 
8;of which investment firms;0; ; ; ; ; ; ; ; 
9;Loans advances;0; ; ; ; ; ; ; ; 
;and; ; ; ; ; ; ; ; ; 
;Debt securities, including; ; ; ; ; ; ; ; ; 
10;UoP?; ; ; ; ; ; ; ; ; 
11;Equity instruments; ; ;x; ; ; ; ;x; 
12;of which management;companies;0; ; ; ; ; ; ; ; 
13;Loans and advances;0; ; ; ; ; ; ; ; 
;Debt securities, including; ; ; ; ; ; ; ; ; 
14;UoP?; ; ; ; ; ; ; ; ; 
15;Equity instruments; ; ;x; ; ; ; ;x; 
16;of which insurance;undertakings;0; ; ; ; ; ; ; ; 
17;Loans and advances;0; ; ; ; ; ; ; ; 
;Debt securities, including; ; ; ; ; ; ; ; ; 
18;UoP?; ; ; ; ; ; ; ; ; 
19;Equity instruments; ; ;x; ; ; ; ;x; 
20;Non-financial undertakings;1;0.3;0.2;0;0;0;0;0;0
21;Loans and advances;1;0.2;0.2;0;0;0;0;0;0
;Debt securities, including;UoP?;0;0; ;0;0; ; ; ; 
23;Equity instruments; ; ;x; ; ; ; ;x; 
24;Households;4.4;0.5;0.5; ; ; ; ; 
25;of which loans collateralised;by residential immovable property;3.5;0.4;0.4; ; ; ; ; 
26;of which building renovation;loans;0.2; ; ; ; ; ; ; ; 
27;of which motor vehicle loans;0; ; ; ; ;x;x;x;x
28;Local governments financing;0; ; ; ; ; ; ; ; 
29;Housing financing; ; ; ; ; ; ; ; ; 
;Other local government;financing;0; ; ; ; ; ; ; ; 
30;financing;0; ; ; ; ; ; ; ; 
31;Collateral obtained by taking possession: residential and commercial immovable properties; ; ; ;nm;oO;nm; ; ; ;"
