"Economic activities;Code;Turnover millions of €;% ;Climate change mitigation Y, N, EL, N/EL;Climate change adaptation Y,N, EL, N/EL;Water Y,N, EL, N/EL;Pollution Y,N, EL, N/EL;Circular economy Y,N, EL, N/EL;Biodiversity Y,N, EL, N/EL;Minimum safe- guards Y/N;Taxonomy aligned (A.1.) or eligible (A.2.) proportion of turnover 2022 %;Category enabling activity E;Category transitional activity
A. Taxonomy-eligible activities;;;;;;;;
AA. Environmentally sustainable activities (taxonomy-aligned);Data-driven solutions for GHG emissions reductions;CCM 8.2;257;0.2;Y;N/EL;N/EL;N/EL;N/EL;N/EL;Y;Y;Y;Y;Y;Y;0.5;E;
Turnover of environmentally sustainable activities (taxonomy-aligned) (A.1.);;;257;0.2;0.2;0.0;0.0;0.0;0.0;0.0;Y;Y;Y;Y;Y;Y;0.5;;;
of which: enabling;;;257;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.5;E;;
of which: transitional;;;0;0.0;0.0;0.0;;;;;;;
A.2. Taxonomy-eligible but not environmentally sustainable activities (not taxonomy-aligned activities);Data processing, hosting and related activities;CCM 81;1,148;1.0;EL;N/EL;N/EL;N/EL;N/EL;N/EL;;;;
Data-driven solutions for GHG emissions reductions;CCM 8.2;719;0.6;EL;N/EL;N/EL;N/EL;N/EL;N/EL;;;;
Product-as-a-service and other circular use- and result-oriented service models;BCE 5.5;645;0.6;N/EL;N/EL;N/EL;N/EL;EL;N/EL;-;;;
Transport by motorbikes, passenger cars and light commercial vehicles;CCM 6.5;0;0.0;EL;N/EL;N/EL;N/EL;N/EL;N/EL;;;;
Infrastructure enabling low-carbon road transport and public transport;CCM 6.15;-;-;EL;N/EL;N/EL;N/EL;N/EL;N/EL;0.0;;;
Turnover of taxonomy-eligible but not environmentally sustainable activities (not taxonomy-aligned activities) (A.2.);;2,513;2.2;1.6;0.0;0.0;0.0;0.6;0.0;1.3;;;
A. Turnover of activities (A.1. + A.2.);;2,770;2.5;1.8;0.0;0.0;0.0;0.6;0.0;1.8;;;
B. Taxonomy non-eligible activities;;;;;;;;
Turnover of taxonomy non-eligible activities;;;109,200;97.5;;;;;;98.2;;;
Total;;;111,970;100.0;;;;;;100.0;;;"
