"; ;2023;Dec. 31, 2022;Change;Change %;Dec. 31, 2021
FTEs in the Group; ;199,652;206,759;(7,107);(3.4);216,528
Of which: Deutsche Telekom AG; ;10,789;12,302;(1,513);(12.3);13,897
Of which: civil servants (in Germany, with an active service relationship); ;6,891;8,381;(1,490);(17.8);9,653
Germany operating segment; ;59,709;59,014;695;1.2;61,768
United States operating segment; ;62,677;67,088;(4,411);(6.6);71,094
Europe operating segment; ;32,932;34,083;(1,151);(3.4);35,319
Systems Solutions operating segment; ;26,036;27,392;(1,356);(5.0);26,175
Group Development operating segment; ;108;828;(720);(87.0);2,674
Of which: GD Towers; ;0;762;(762);(100.0);775
Group Headquarters &amp; Group Services; ;18,190;18,353;(163);(0.9);19,498
Breakdown by geographic area; ; ; ; ; ;
Germany; ;78,600;81,469;(2,869);(3.5);85,160
International; ;121,052;125,290;(4,238);(3.4);131,368
Of which: other EU member states; ;48,305;48,144;161;0.3;50,005
Of which: rest of Europe; ;2,174;2,087;87;4.2;2,066
Of which: North America; ;62,902;67,312;(4,410);(6.6);71,337
Of which: rest of world; ;7,672;7,747;(75);(1.0);7,960
Natural attrition®;%;4.6;5.9;(1.3);(22.0);5.2
Of which: Germany;%;2.5;2.5;0.0;0.0;2.1
Of which: international;%;7.4;10.7;(3.3);(30.8);9.3
Productivity trend®; ; ; ; ; ;
Net revenue per employee;thousands of €;547;542;5;0.9;488"
