"; ; Goodwill carrying amount millions of €; Impairment millions of €; Detailed planning period years; Discount rates® %; Sustainable growthrate pa. Bin%; Level _ allocation of input parameters?
Germany; 2023; 4,848; 0; 10; 4.74; 0.0; Level 3
Germany; 2022; 4,845; 0; 10; 4.48; 0.0; Level 3
United States; 2023; 10,964; 0; na.; na.; na.; Level1
United States; 2022; 11,345; 0; na.; na.; na.; Level1
Europe; ; ; ; ; ; ; 
Poland; 2023; 200; 0; 10; 7.29; 1.0; Level 3
Poland; 2022; 186; 0; 10; 7.47; 1.0; Level 3
Hungary; 2023; 866; 0; 10; 8.85; 1.0; Level 3
Hungary; 2022; 827; 0; 10; 9.09; 1.0; Level 3
Czech Republic; 2023; 816; 0; 10; 5.89; 1.0; Level 3
Czech Republic; 2022; 836; 0; 10; 6.50; 1.0; Level 3
Croatia; 2023; 506; 0; 10; 6.50; 1.0; Value in use
Croatia; 2022; 506; 0; 10; 7.16; 1.0; Value in use
Slovakia; 2023; 417; 0; 10; 5.78; 1.0; Level 3
Slovakia; 2022; 423; 0; 10; 5.81; 1.0; Level 3
Greece; 2023; 422; 0; 10; 5.89; 1.0; Level 3
Greece; 2022; 422; 0; 10; 6.23; 1.0; Level 3
Austria; 2023; 613; 0; 10; 5.87; 1.0; Level 3
Austria; 2022; 613; 0; 10; 5.67; 1.0; Level 3
Other®; 2023; 53; 0; 10; 8.38–9.04; 1.0; Value in use
Other®; 2022; 53; 0; 10; 8.75–8.98; 1.0; Value in use
Group Headquarters &amp; Group Services; ; ; ; ; ; ; 
Deutsche Telekom IT; 2023; 590; 0; 10; 8.44; 1.0; Level 3
Deutsche Telekom IT; 2022; 590; 0; 10; 8.61; 1.0; Level 3
Deutsche Telekom in total; 2023; 20,296; 0; ; ; ; 
Deutsche Telekom in total; 2022; 20,647; 0; ; ; ;"
