";Disclosure in income statement;2023;2022;2021
;Current service cost;Personnel costs;146;225;234
;Past service cost (due to plan amendments/curtailments);Personnel costs;(3);(3);(87)
;Settlements;Personnel costs;34;40;0
;Service cost;;;177;262;147
;Interest cost;Other financial income (expense);433;205;179
;Interest income on plan assets (calculated using the discount rate);Other financial income (expense);(269);(123);(90)
;;;0;0;0
;Interest expense on the effect of the asset ceiling;Other financial income (expense);1;0;0
;Net interest expense (income) on net defined benefit liability (asset);;166;83;89
;Defined benefit cost;;;343;344;236
;Administration costs actually incurred (paid from plan assets);Personnel costs;0;0;0
;Total amounts recognized in profit or loss;;;343;344;236"
