";Land and buildings;Technical equipment and machinery;equipment, operating and office equipment;Total
Cost;;;;;
At December 31, 2021;22;4,239;3;4,264
Currency translation;0;202;0;202
Changes in the composition of the Group;0;0;0;0
Additions;0;467;1;468
Disposals;0;(2,477);0;(2,477)
Change from non-current assets and disposal groups held for sale;0;(4);0;(4)
Reclassifications;0;9;1;10
At December 31, 2022;22;2,437;6;2,465
Currency translation;0;(12);0;(12)
Changes in the composition of the Group;0;(3);0;(3)
Additions;0;297;2;299
Disposals;(1);(1,233);0;(1,234)
Change from non-current assets and disposal groups held for sale;0;0;0;0
Reclassifications;(2);32;(1);30
At December 31, 2023;20;1,518;7;1,545
Accumulated depreciation and impairment losses;;;;;
At December 31, 2021;(20);(2,599);(2);(2,621)
Currency translation;0;(133);0;(133)
Changes in the composition of the Group;0;0;0;0
Additions (depreciation);(1);(1,201);(1);(1,203)
Additions (impairment);0;0;0;0
Disposals;0;2,106;0;2,106
Change from non-current assets and disposal groups held for sale;0;4;0;4
Reclassifications;0;3;0;3
Reversal of impairment losses;0;0;0;0
At December 31, 2022;(21);(1,819);(3);(1,843)
Currency translation;0;11;0;11
Changes in the composition of the Group;0;2;0;2
Additions (depreciation);0;(303);(1);(305)
Additions (impairment);0;(1);0;(1)
Disposals;1;1,124;0;1,125
Change from non-current assets and disposal groups held for sale;0;0;0;0
Reclassifications;2;(1);0;1
Reversal of impairment losses;0;0;0;0
At December 31, 2023;(19);(987);(4);(1,011)
Net carrying amounts;;;;;
At December 31, 2022;2;618;3;622
At December 31, 2023;1;531;3;535"
