billions of EUR; ;Change %;2023;2022;2021;2020;2019
Revenue and earnings; ; ; ; ; ; ; 
net revenue; ;-21;112;114.4;107.8;100.1;80.5
Of which: domestic; %; ;23;22.1;23;24.4;30.5
Of which: international; %; ;77;77.9;77;75.6;69.5
Service revenue; ;1;92.9;92;83.2;78.1; na.
EBITDA; ;31.4;57.8;44;40.5;38.6;27.1
EBITDA (adjusted for special factors); ;0.9;46.8;46.4;43.2;40.4;28.7
EBITDA AL; ;42.2;51.2;36;33.9;33.2;23.1
EBITDA AL (adjusted for special factors); ;0.7;40.5;40.2;37.3;35;24.7
EBITDA AL margin (adjusted for special factors); %; ;36.2;35.1;34.6;35;30.7
Profit (loss) from operations (EBIT);; na.;33.8;16.2;18.8;72.8;9.5
Revenue and earnings from continuity operations according to financial statements); ; ; ; ; ; ; 
net revenue; ; (2.0);112;14.2;107.6;99.9; na.
EBITDA; ;4;44.8;43;39.7;37.9; na.
Profit (loss) from operations (EBIT); ;34.9;20.8;15.4;12.6;12.4; na.
Net profit (loss); ; na.;17.8;8;4.2;4.2;3.9
Net profit (loss) (adjusted for special factors); ; (12.6);7.9;9.1;5.9;5.7;4.9
Profitability;;;;;;;
ROCE %;%;;9;4.5;4.4;4.6;5.1
Statement of financial position; ; ; ; ; ; ; 
Total assets; ; (2.8);290.3;298.6;281.6;264.9;170.7
Shareholders' equity; ;45;91.2;87.3;81.5;72.6;46.2
Equity ratio; %; ;31.4;29.2;28.9;27.4;27.1
Net debt; ; (7.1);132.3;142.4;132.4;120.2;76
Relative debt (Net debt/EBITDA (adjusted for special factors)); ; ;2.82;3.07;3.06;2.78;2.65
cash flows; ; ; ; ; ; ; 
Net cash from operating activities; ;4.1;37.3;35.8;32.2;23.7;23.1
Cash capex; ;25.9; (17.9); (24.1); (26.4); (18.7); (14.4)
Cash capex (before spectrum investment); ;21.1; (16.6); (21.0); (18.0); (17.0); (13.1)
Free cash flow (before dividend payments and spectrum investment);;37.2;20.9;15.2;14.3;10.8;10.1
Free cash flow AL (before dividend and payments spectrum investment); ;40.7;16.1;1.5;8.8;6.3;7
Net cash (used in) from investing activities; ;54.2; (10.2); (22.3); (27.4); (22.6); (14.2)
Net cash (used in) from financing activities; ; (65.4); (25.5); (15.4); (10.8);7.6; (7.1)
Employees; ; ; ; ; ; ; 
Average number of employees without (full-time equivalents, trainees);thousands; (3.0);205;211;221;224;213
T-Share - key figures;;;;;;;
Earnings per share;EUR; na.;3.57;1.61;0.87;0.88;0.82
Adjusted earnings per share;EUR; (12.6);1.6;1.83;1.22;1.2;1.04
Dividend per share;EUR;10;0.77;0.7;0.64;0.6;0.6
Dividend payout; billions of EUR;8.6;3.8;3.5;3.2;2.8;2.8
Adjusted weighted average number of ordinary shares outstanding; millions;0.1;4976;4972;4813;4743;4743
ESG KPIs; ; ; ; ; ; ; 
Energy consumption; GWh; (7.6);12241;13253;13323;12843;9324
CO2 emissions (Scope 1and 2); kt CO2e; (6.9);217;233;247;2512;1797
