";Dec. 31, 2023;Share of total assets/liabilities and shareholders’ equity %;Dec. 31, 2022;Change;Dec. 31, 2021
Assets
Cash and cash equivalents;7,274;2.5;5,767;1,507;7,617
Trade receivables;16,157;5.6;16,766;(609);15,299
Intangible assets;136,004;46.8;140,600;(4,596);132,647
Property, plant and equipment;65,042;22.4;65,729;(687);61,770
Right-of-use assets;32,826;11.3;33,727;(901);30,777
Investments accounted for using the equity method;4,605;1.6;1,318;3,287;938
Current and non-current financial assets;9,593;3.3;9,910;(317);8,888
Deferred tax assets;6,401;2.2;8,316;(1,915);7,906
Non-current assets and disposal groups held for sale;211;0.1;4,683;(4,472);4,856
Miscellaneous assets;12,192;4.2;11,774;418;10,929
Total assets;290,305;100.0;298,590;(8,285);281,627
Liabilities and shareholders’ equity
Current and non-current financial liabilities;104,522;36.0;113,030;(8,508);111,466
Current and non-current lease liabilities;40,792;14.1;38,792;2,000;33,133
Trade and other payables;10,916;3.8;12,035;(1,119);10,452
Provisions for pensions and other employee benefits;4,060;1.4;4,150;(90);6,134
Current and non-current other provisions;8,100;2.8;8,204;(104);9,463
Deferred tax liabilities;21,918;7.5;22,800;(882);19,809
Liabilities directly associated with non-current assets and disposal groups held for sale;0;0.0;3,347;(3,347);1,365
Miscellaneous liabilities;8,760;3.0;8,912;(152);8,336
Shareholders’ equity;91,237;31.4;87,320;3,917;81,469
Total liabilities and shareholders’ equity;290,305;100.0;298,590;(8,285);281,627"
