"Rating agency;Indexes/ratings/ranking;2023;2022;2021;2020;2019
S&amp;P CSA;DJSI World;v;v;v;v;v
S&amp;P CSA;DJSI Europe;v;v;v;v;v
S&amp;P CSA;S&amp;P ESG Index Series;v;v;v;v;v
CDP;STOXX Global Climate Change Leaders;v;v;v;v;v
CDP;Supplier Engagement A-List;A;A;A;A;A
MSCI;ESG Universal Indexes;v;v;v;v;v
ISS-ESG;Prime Status (Sector Leader);v;v;v;v;v
Bloomberg;Gender Equality Index;v;v;v;v;v
Sustainalytics;STOXX Global ESG Leaders®;v;v;v;v;v
Sustainalytics;UN Global Compact 100;A;A;A;A;A
FTSE Financial Times Stock Exchange;FTSE4Good;v;v;v;v;v
Moody’s;Euronext indexes based on Moody’s ESG data;v;v;v;v;v"
