"Plant;vehicles;Production
Algeria;;2773
Oran (RAP);Logan 2 Sandero 2 Clio 4;1836
Argentina;;67893
Cérdoba;Sandero 2;16180
;Nissan Navara Nissan Frontier;19331
Brazil;;184643
Curitiba;Master 3 Duster Oroch Duster 2 Sandero 2 Logan 2 Captur long;110,000
;Kwid;91,044
Chile;;3847
Los Andes;Gearboxes;0
(Cormecanica) China;;221999
Nanchang (JMEV);Limo;186
Bitenlecie SUM;Spring /others;62438
China;;62624
Colombia;;49861
Envigado (Sofasa);Logan2 Sandero 2 Duster 2;33761
South Korea;;118,488
Busan (RKM);SM6;4874
;XM3/Arkana Koleos /QM6 Twiz;163,748
Spain;;372349
Palencia;Megane 4;46981
;Kadjar Austral Others;107,699
Valladolid;Captur 2 Others;162,751
Sevilla;Gearboxes;372349
Valladolid Motores;Engines Aluminium foundry (in metric tons);912578"
