"Kwid Triber;;
Plant India Chennai (RNAIPL);vehicles;Production
;Kiger;
;Total vehicles India;0
Morocco Casablanca (Somaca);Logan Sandero 2 Sandero 3;
;Total vehicles;0
;Logan 3 Casablanca;
Tangier;Lodgy Sandero 3 New;
;Express;
;Total vehicles Tangier;0
;Total vehicles;Morocco;0
Mexico Cuernavaca;;;
;(Nissan);;
;Total vehicles Mexico;0
Nigeria Lagos(Coscharis);PeEcigAReleroia);
;Portugal Cacia Gearboxes;473,270
;Romania Mioveni (Dacia);Logan 2 Logan3 Sandero 2 Sandero 3 Duster 2 Jogger;825 24,390 1,446 1,461 214,057 72,049
;Total vehicles Romania;314,228
;Romania;;
Mioveni (Dacia);Gearboxes Engines Chassis components” Aluminium foundry (in metric tons);275,701 337,777 384,126 17,582
Slovenia;;;
;Novo mesto Clio 5;19,753 (Revoz) Twingo / Smart (Daimler);20,954
;Total vehicles;Twingo E-Tech/ Smart ZE (Daimler) Slovenia;27,423 68,130
Turkey;;;
Bursa;Clio 5;206,019
;(Oyak Renault);Megane 4 Sedan;41,081
;Total vehicles Turkey;247,100
Turkey Bursa (Oyak Renault);Gearboxes Engines;113,170 160,028
;Chassis components Aluminium foundry (in metric tons);494,604 1,233
;Total vehicles outside;France;1,891,259
;Total vehicles worldwide;2,323,439"
