"Insurance line Provision for reimbursements and surrenders (except annuities);gross;net;gross;net
Fire;6,753,907;4,700,395;6,105,364;4,116,002
Casualty;13,046,074;10,875,690;12,322,859;10,194,874
Accident;1,031,048;639,242;989,897;622,462
Motor;5,878,936;4,301,344;5,675,502;4,105,353
Aviation;928,031;729,835;916,390;703,261
Marine;1,550,802;1,062,170;1,437,923;968,372
Life;1,644,817;1,525,353;1,592,482;1,460,156
Other lines;7,890,094;5,526,756;8,170,941;5,261,931
Total;38,723,709;29,360,785;37,211,358;27,432,411
Separate value adjustment on retrocessions;=;=;-;28,896
Total;38,723,709;29,360,785;37,211,358;27,461,307
Provision for annuities; ; ; ; 
Casualty;2,883;2,792;2,931;2,841
Accident;42,873;42,866;39,666;39,660
Motor;16,897;15,586;17,532;16,062
Life;34,438;34,438;38,770;38,770
Total;97,091;95,682;98,899;97,333
Total;38,820,800;29,456,467;37,310,257;27,558,640"
