"Insurance line;Position at 1.1.;Addition;Withdrawal and release;Position at 31.12.
Equalisation reserve;;;;
Fire;511,234;1,558;3,339;509,453
Casualty;2,089,407;-;394,217;1,695,190
Motor;808,169;-;46,746;761,423
Aviation;267,420;-;81,837;185,583
Marine;401,479;-;65,819;335,660
Other lines;680,125;-;10,435;669,690
;4,757,834;1,558;602,393;4,156,999
Provisions which are similar to the equalisation reserve — major risks —;;;;
Fire;27,689;535;-;28,224
Casualty;14,231;3,015;-;17,246
Motor;1,231;30;-;1,261
Other lines;64,362;2,401;-;66,763
Total;4,865,347;7,539;602,393;4,270,493"
