"in EUR thousand Insurance line;gross;net;gross;net
Fire;8,607,815;6,256,370;7,829,012;5,540,339
Casualty;15,986,221;13,580,331;15,622,186;13,246,868
Accident;1,287,197;756,278;1,298,911;762,472
Motor;7,191,689;5,476,180;7,073,223;5,333,350
Aviation;1,219,650;1,008,341;1,290,061;1,058,399
Marine;1,943,977;1,446,612;1,867,638;1,393,447
Life;9,397,489;9,055,788;9,632,319;9,239,911
Other lines;10,207,881;7,375,082;10,408,756;6,997,969
;55,841,919;44,954,982;55,022,106;43,572,755
Separate value adjustment on retrocessions Total;=;=;-;28,896
;55,841,919;44,954,982;55,022,106;43,601,651"
