;2021;2022;2023;Unit
Water withdrawal by source;;;;
 - Surface water;28.6;26.3;25;million m3
 - Groundwater;8.9;9.9;7.8;million m3
 - Seawater;3.5;3.5;3.5;million m3
 - Municipal/potable water;5.1;4.6;4.4;million m3
 - External waste water;0;0.2;1.3;million m3
 - Quarry water used;11.5;14.3;13.7;million m3
 - Harvested rain water used in processes;2.5;2;2.4;million m3
Total water discharge;29.5;28.9;28.6;million m3
 - Thereof in areas with water scarcity;6.7;6;7.2;million m3
By place of discharge;;;;
 - Surface water;23.9;23.3;22.7;million m3
 - Groundwater;0.1;0.1;0.1;million m3
 - Seawater;3.9;3.9;3.9;million m3
 - Off-site water treatment facility;1.1;1;1.1;million m3
Discharge to beneficial third party/other;0.5;0.6;0.7;million m3
Total water consumption (water withdrawal minus wastewater discharge);30.8;31.8;29.7;million m3
 - Thereof in areas with water scarcity;10;9.6;7.5;million m3
Quarry water not used;69.5;51.3;76.9;million m3
Specific water withdrawal for clinker;727.9;762.6;772.8;l/t
Specific water withdrawal for cement;520.3;549.7;549.9;l/t
Specific water discharge for clinker;355.9;363.5;379.1;I/t
Specific water discharge for cement;254.4;262;269.7;I/t
Specific water consumption for clinker;372;399.1;393.7;I/t
Specific water consumption for cement;265.9;287.7;280.1;I/t
Aggregates business line;;;;
Total water withdrawal;243.8;212.5;203.7;million m3
Total water discharge;201.7;177.2;158.4;million m3
Total water consumption;42.1;35.3;45.3;million m3
Specific water consumption for aggregates;139.9;125.4;167.3;I/t
Ready-mixed concrete business line;;;;
Total water withdrawal;11.6;12.84;12.05;million m3
Total water discharge;6.1;6.39;6.29;million m3
Total water consumption;5.5;6.45;5.76;million m3
Specific water consumption for ready-mixed concrete;184;178;175;l/m3
