"Employees, diversity, equity, and inclusion;;;
Total number of Group employees as at 31 December;51,209;50,780;50,997;Full-time equivalent
- Western and Southern;15,040;14,883;15,052;Full-time equivalent
- Northern and Eastern Europe-Central Asia;11,101;10,869;10,590;Full-time equivalent
- North America;7,637;7,933;8,247;Full-time equivalent
- Asia-Pacific;12,460;12,139;12,218;Full-time equivalent
- Africa-Eastern Mediterranean Basin;4,886;4,858;4,790;Full-time equivalent
- Group Services;85;99;100;Full-time equivalent
Employee turnover?;
- Western and Southern Europe;12;8;17;%
- Northern and Eastern Europe-Central Asia;12;14;15;%
- North America;36;28;26;%
- Asia-Pacific;10;14;19;%
- Africa-Eastern Mediterranean Basin;16;10;12;%
- Total;15;14;21;%
Voluntary fluctuation rate*;12;11;17;%
Total number of hires*;10,511;10,165;10,275;Full-time equivalent
Internal hire rate?;32;23;28;%
Proportion of part-time employees (Group)*;2.5;2.5;3.1;%
Proportion of part-time employees (Heidelberg Materials AG)!;9.9;10.1;10.3;%
Age structure (Group)*;
- Younger than 30;11.2;11.2;11.6;%
- 30-49;51.8;51.4;48.4;%
- 50 and older;37.0;37.5;40.0;%"
