"GRI Standard;Disclosure;Location;Omission (Requirement(s) omitted (Req), Reason (Reas), Explanation (E))
Climate change resilience and adaptation;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;40-51, 116-120, 161-166, 373-374;
GRI 201: Economic Performance 2016;201-2 Financial implications and other risks and opportunities due to climate change;161-166, 373-374;
Community engagement;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;65-66;
GRI 203: Indirect Economic Impacts 2016;203-2: Significant indirect economic impacts;6-8, 78, 364;
GRI 413: Local Communities 2016;413-1 Operations with local community engagement, impact assessments, and development programs;32, 59, 65, 363-364;
CO2 emissions;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;40-45, 56-58, 84-86, 116-120;
GRI 305: Emissions 2016;305-1 Direct (Scope 1) GHG emissions;46, 356, 368;
;305-2 Energy indirect (Scope 2) GHG emissions;46, 356, 368;
;305-3 Other indirect (Scope 3) GHG emissions;46, 356, 368 -369;
;305-4 GHG emissions intensity;119, 356;
;305-5 Reduction of GHG emissions;39, 117, 119, 356;
Customer satisfaction and engagement;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;58;
GRI 416: Customer Health and Safety 2016;416-1 Assessment of the health and safety impacts of product and service categories;58;
Digital transformation;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;63, 80, 84, 155, 164-165;
Diversity, equality and inclusion;;;
GRI 3: Material Topics 2021;3-3 Management of material topics;59-60, 134-136;
GRI 202: Market Presence 2016;202-2 Proportion of senior management hired from the local community;134, 362;
GRI 405: Diversity and Equal Opportunity 2016;405-1 Diversity of governance bodies and employees;134-136, 171-176, 361-362;
;405-2 Ratio of basic salary and remuneration of women to men;61;Req: Information on the ratio of basic salary and remuneration of women to men Reas: Information not available/incomplete E: We are currently working on the implementation of a new global HR system and a global job architecture to enable analyses of compensation data."
