";Gross value Jan.1;Cash flows;Changes i portfolio;Change in the maturity;Currency translation effects;Gross value Dec. 31
;‘ies arising from financing activities;;;;;
Short-term financial liabilities due to banks;21,347;(57,409);0;50,567;(57);14,449
Long-term financial liabilities due to banks;88,532;279,473;0;(50,567);(1,010);316,428
Lease liabilities;804,218;(221,577);222,231;0;(11,627);793,245
Total;914,097;487;222,231;0;(12,693);1,124,123
;2022;;;;;
;Liabilities arising from financing activities;;;;;
Short-term financial liabilities due to banks;14,524;(6,748);0;13,639;(68);21,347
Long-term financial liabilities due to banks;103,202;0;0;(13,639);(1,030);88,532
Lease liabilities;794,585;(215,888);225,170;0;351;804,218
Total;912,311;(222,636);225,170;0;(747);914,097"
