";Gross amounts recognized assets;Gross amounts offset liabilities;Net asset amounts disclosed in statement of fin. pos.;Lia! ies not offset in the statement of fin. pos.;Cash deposits received not offset in the statement of fin. pos.;Net amounts
2023;;;;;;
Trade receivables;396,103;(20,484);375,620;0;0;375,620
Other financial assets;80,769;0;80,769;(40);0;80,728
Thereof derivates;177;0;177;(40);0;137
Total;476,872;(20,484);456,388;(40);0;456,348
2022;;;;;;
Trade receivables;272,930;(16,500);256,430;0;0;256,430
Other financial assets;67,814;0;67,814;(95);0;67,719
Thereof derivates;622;0;622;(95);0;527
Total;340,744;(16,500);324,244;(95);0;324,149"
