"csv
Sales (in EUR million);3651;2786;1946;2884;2796;2733;2693;2809;2572
Sales by brand?;;;;;;;;
BOSS Menswear;2868;2181;1530;;;;;;
BOSS Womenswear;239;192;131;2488;2422;2336;2313;2522;2328
HUGO;545;413;285;396;374;397;380;287;243
Sales by segments;;;;;;;;
EMEA;2303;1742;1231;1803;1736;1681;1660;1683;1566
Americas;789;543;308;560;574;577;582;671;587
Asia/Pacific;467;423;343;438;410;396;382;393;361
Licenses;92;77;64;84;76;79;69;62;58
Sales by distribution channel?;;;;;;;;
Brick-and-mortar retail#;2016;1512;1057;1869;1768;1732;1677;768;14
Brick-and-mortar wholesales;895;647;472;931;952;922;947;1058;7043
Digital;648;549;352;355;355;355;355;355;355
Licenses;92;77;64;84;76;79;69;62;58
Results of operations (in EUR m);;;;;;;;;
Gross profit;2256;4721;1187;1875;1823;1808;1777;1853;1699
Gross in %;61.8;61.8;61.0;65.0;65.2;66.2;66.0;66.0;66.1
margin;;;;;;;;;;;
EBIT;335;228;(236);344;347;341;263;448;449
EBIT margin in %;92;8.2;(2.47);19;124;125;98;159;TZ!
EBITDA;680;568;230;707;476;499;433;590;572
Net income attributable to equity holders of the parent company;209;137;(220);205;236;231;194;319;333
Net assets and liability structure as of December 31 (in EUR million);;;;;;;;;
Trade net working capital;613;376;41;528;537;459;524;528;503
Non-current assets;1535;1458;1516;1713;686;662;752;765;660
Equity;1135;940;760;1002;981;915;888;956;844
Equity ratio in %;36;34;30;35;53;53;49;53;51
Total assets;3127;2736;2570;2877;1858;1720;1799;1800;1662
Financial position and dividend (in EUR million);;;;;;;;;
Free cash flow;166;560;164;457;170;294;220;208;268
Net financial liabilities (as of December 31);767;628;1004;1040;22;7;113;82;36
Capital expenditure;192;104;80;192;155;128;157;220;135
Depreciation/amortization;345;339;465;362;129;158;169;142;123
Total leverage (as of December 31);14;1;(6.7);0.2;0.0;0.0;0.2;0;0.4
Amount distributed;69;48;3;3;186;183;79;250;250
Additional key figures;;;;;;;;
Employees (as of December 31);16930;14041;13795;14633;14685;13985;13798;13764;12990
Personnel expenses (in EUR million);794;627;570;640;629;604;605;563;514
Number of Group's own retail points of sale;1316;1228;1157;113;1092;1139;1124;113;1041
Shares (in EUR);;;;;;;;;
Earnings per share;3.04;1.99;(3.18);2.97;3.42;3.35;2.80;4.63;4.83
Dividend per share;1.00;0.70;0.04;0.04;2.70;2.65;2.60;3.62;3.62
Last share price (as of December 31);54.16;53.50;27.29;43.26;53.92;70.94;58.13;76.60;101.70"
