"csv
€in millions;10ctober 2021;Additions;Additions _ through business combi- nation;Disposals;Reclassi- fication;Currency effects;30Sep- tember 2022;1 October 2021;Depre- ciation/ amorti- zation;_ Disposals;Reclassi- fication;Impair- ments/ reversals of impair- ments;Currency effects;30 Sep- tember 2022;30 Sep- tember 2022;30 Sep- tember 2021
Property, plant and equipment;;;;;;; ;;;;;;
Land, land rights and buildings;2,302;69;3;(6);136;61;2,565;(989);(83);5;-;6;(19);(1,080);1,485;1,313
Technical equipment and machinery;11,129;972;6;(130);455;108;12,540;(8,822);(829);127;(8);-;(68);(9,600);2,940;2,307
Other plant and office equipment;1,457;131;-;(85);38;19;1,560;(1,279);(138);83;8;-;(12);(1,338);222;178
Payments on account and construction in progress;645;889;-;(1);(629);-;904;-;-;1;-;(6);(1);(6);898;645
Total;15,533;2,061;9;(222);-;188;17,569;(11,090);(1,050);216;-;-;(100);(12,024);5,545;4,443
Other intangible assets;;;;;;; ;;;;;;
Capitalized development costs;1,220;209;-;-;-;15;1,444;(448);(94);-;-;(4);(1);(547);897;772
Customer relationships;1,333;-;-;-;-;212;1,545;(595);(156);-;-;-;(90);(841);704;738
Technologies;2,214;-;-;-;-;404;2,618;(528);(243);-;-;-;(121);(892);1,726;1,686
Licenses and similar rights;306;31;-;(5);-;6;338;(230);(30);5;-;-;(6);(261);77;76
Remaining other intangible assets;106;-;-;-;-;20;126;(29);(11);-;-;-;(7);(47);79;77
Total;5,179;240;-(5);-;657;6,071;(1,830);(534);5;-;(4);(225);(2,588);3,483;3,349"
