";Cash and cash equivalents;112,924;;;112,924;-;112,924
;Financial assets measured at fair value through profit or loss Financial assets measured at fair value;150,616;;;150,616;-;150,616
;through other comprehensive income;119,504;;;119,508;-;119,508
;Financial assets measured at amortised cost;528,081;;;528,081;-;528,081
;Hedging derivatives;10,075;;;10,075;-;10,075
;Fair value change of financial assets in hedged portfolios (+/-) Investments in associates and to; -9,752;;; -9,752;-;-9,752
;companies subject joint control;2,013;;;2,013;-;2,013
;Insurance assets;272;;;151;-;151
;Property and equipment;10,505;;;10,505;-;10,505
;Intangible assets;9,830;;;9,237;-;9,237
;Tax assets Non-current assets held for sale and discontinued;18,273;;;18,130;-;18,130
;operations;638;;;638;-;638
;Other assets;22,704;;;22,461;-;22,461
TOTAL;ASSETS;975,683;;;974,587;-;974,587"
