"120.;Valuation reserves;-1.939;-696;-;-;-;-;-;-;-;-;-;-2.635
130.;Redeemable shares;.;-;-;-;-;-;-;-;-;-.;.;.
140.;Equity instruments;-;-;-;7.211;-;-;-;-;-;-;-;7.211
150.;Reserves;-;-;-;-;15.827;-;-;-;-;-;-;15.827
155.;Interim dividend (-);-;-;-;-;-;1.400;-;-;-;-;-;1.400
160.;Share premium reserve;-;-;-;-;-;28.053;-;-;-;-;-;28.053
170.;Share capital;-;-;-;-;-;-;10.369;:-;-;-;10.369
180.;Treasury shares (-);-;-;-;-;-;-;-;-124;-;-;-124
190.;Minority interests (+/-);-;-;-;-;-;-;-;-;166;-;166
200.;Net income (loss) (+/-);-;-;-;-;-;-;-;-;-;4.354;4.354"
