";Carrying;Hedge Lease;;;;31.12.2023
;amount;;;;IFRS 9 measurement;category;accounting _;receivables
;;;;Fair;value through profit or loss;Fair value through;;;
;;;Amortised;;;;other comprehen-;;; 
;€m cost;Mandatory;Designated _;sive income
;Financial investments;;;;;;;
Instruments subject to equity risk;10,820;0;10,820;0;0;0;0
Instruments subject to interest-rate;;;0;;;0;0;0
and credit risk;174,496;2,975;10,786;(0);160,735;0;0
Alternative investments;15,400;0;8,882;i);6,518;0;0
;;200,715;2,975;30,487;);167,254;i);i)
;Investments for unit-linked life;;;;;;;
insurance;8,280;0;8,280;0;0;0;0
Insurance-related financial instruments;9,872;0;9,835;36;0;0;0
Financial receivables;3,841;3,807;0;0;0;0;35
Cash and cash equivalents;5,595;5,595;0;0;0;0;0
;Total;228,303;12,376;48,602;36;167,254;0;35"
