";Carrying amount;Undiscounted cash flows by remaining maturities;Total
€m Subordinated liabilities;-4,713;-144;-133;-133;-195;-133;-4,900;0;-5,637
Derivatives;-1,379;-1,552;-258;-78;-72;-40;-222;-102;-2,324
Non-derivative financial liabilities;Bonds;-266;-20;-20;-20;-286;0;0;0;-346
Liabilities to credit institutions;-912;-727;-5;-3;-4;-4;-20;-150;-913
Other financial liabilities;-2,982;-2,659;-148;-54;-33;-25;-111;-84;-3,114
Total;-5,539;-4,958;-431;-155;-395;-69;-352;-336;-6,696
Other liabilities;Insurance-related liabilities;Insurance-linked derivatives;-2,682;-520;-79;-47;-59;-61;-890;-1,366;-3,022
Other insurance-related liabilities;-2,138;-1,853;-244;-173;-141;-99;-376;-562;-3,448
Total;-4,820;-2,373;-323;-221;-200;-160;-1,266;-1,929;-6,471
Total;-15,072;-7,474;-886;-508;-790;-362;-6,518;-2,265;-18,804"
