";Real estate;facilities and;equipment;Advances paid;Total
cost;;;;;
Balance as of January 1, 2022;475;209;97;132;912
Exchange rate differences;5;3;0;0;8
Changes in scope of consolidation;-35;-37;-2;0;-74
Additions;21;16;8;70;116
Reclassifications;4;1;1;-5;-
Disposals;-33;-8;-15;0;-56
Balance as of December 31, 2022 / January 1, 2023;436;184;88;197;905
Exchange rate differences;-1;0;0;-1;-1
Changes in scope of consolidation;-1;0;0;-1;-1
Additions;28;15;7;70;119
Reclassifications;3;2;0;-4;-
Disposals;-23;-6;-10;0;-38
Balance as of December 31, 2023;442;195;86;262;984
DEPRECIATION AND IMPAIRMENTS;;;;;
Balance as of January 1, 2022;191;161;65;0;417
Exchange rate differences;2;2;0;0;4
Changes in scope of consolidation;-20;-20;-2;0;-41
Additions;47;19;19;0;85
Disposals;-29;-6;-15;0;-50
Balance as of December 31, 2022 / January 1, 2023;191;156;68;0;415
Exchange rate differences;0;0;0;0;-1
Changes in scope of consolidation;-1;0;0;0;-1
Additions;40;18;8;0;67
Disposals;-21;-6;-9;0;-36
Balance as of December 31, 2023;209;167;67;0;444
Carrying amount as of December 31, 2022;245;29;20;197;490
Carrying amount as of December 31, 2023;233;27;18;262;540"
