"EUR million;Industrial Lines;Industrial Lines;Retail Germany — Property/Casualty;Retail Germany — Property/Casualty;Retail Germany — Life;Retail Germany — Life
;31.12.2023;31.12.2022;31.12.2023;31.12.2022;31.12.2023;31.12.2022
Due within one year;6,212;6,198;1,228;1,147;2,307;2,120
More than 1 year and up to 2 years;3,067;3,257;446;418;2,120;1,990
More than 2 years and up to 3 years;2,067;2,081;302;290;2,128;2,072
More than 3 years and up to 4 years;1,492;1,386;236;228;2,382;2,198
More than 4 years and up to 5 years;1,101;1,017;196;190;2,493;2,886
More than 5 years and up to 10 years;2,588;2,423;630;617;8,108;8,231
More than 10 years;2,093;1,890;690;674;67,982;67,593
Cumulative discounting effect;-1,143;—2,380;—462;—516;—36,625;—39,112
Total;17,476;15,873;3,266;3,048;55,721;53,396"
