"EUR million;liberty Seguros S.A.;Indiana Seguros S.A.;Liberty International Brasil Ltda
Intangible assets;125;7;_
Reinsurance contracts assets;50;12;_
Investments;647;89;527
of which shares in affiliated companies (before consolidation);-;-;509
Cash at banks, cheques and cash-in-hand;9;1;1
Deferred;_;_;_
tax assets;;12;1
Other assets;51;46;_
Total assets;882;166;529
Insurance contracts liabilities;374;45;_
Other provisions;39;6;1
Other liabilities;29;47;_
of which insurance-related;4;_;_
Deferred tax liabilities;1;_;_
Total liabilities;442;98;1
Acquired net assets (before consolidation);440;69;528"
