";31.12.2023;31.12.2022
EUR million;;
Debt instruments;;
US Treasury notes;—;19
Other foreign government debt securities;67;6
Debt securities issued by quasi-governmental entities;37;37
Corporate bonds;1,150;994
Covered bonds/asset-backed securities;17;14
Profit participating certificates;92;114
Life settlement contracts;13;13
Other;53;70
Total debt instruments;1,429;1,268
Equity instruments;;
Equities;122;121
Shares in associates and joint ventures;190;184
Other participating interests;—;6
Other equity instruments at fair value through profit or loss;10;—
Total equity instruments;322;311
Derivatives;415;593
Funds classified as at fair value through profit or loss;8,906;8,223
Investment contracts;1,971;1,792
Short-term investments;2,233;1,897
Total;15,276;14,084"
