"EUR million;2023;2022
Gross carrying amount as at the end of the previous year;659;659
Additions;2;1
Gross carrying amount as at the end of the financial year;661;659
Accumulated depreciation and impairment losses as at the end of the previous year;-265;-236
Reversal of impairments;2;4
; ;
Depreciation and impairment losses; ;
Depreciation;-32;-34
Accumulated depreciation and impairment losses as at the end of the financial year;-295;-265
Carrying amount as at the end of the previous year;394;423
Carrying amount as at the end of the financial year;366;394"
