"31.12.2023;EUR;USD;GBP;AUD;CAD;BRL
lyear;0.036075;0.050854;0.050997;0.046455;0.043537;0.101278
S years;0.025919;0.041036;0.037194;0.042250;0.035620;0.099844
10 years;0.027342;0.046590;0.036483;0.045210;0.035363;0.104516
15 years;0.028315;0.047025;0.037619;0.046790;0.034728;0.101740
20 years;0.027677;0.046759;0.037971;0.046612;0.034411;0.094931
25 years;0.027066;0.045391;0.037536;0.045194;0.034221;0.088253
30 years;0.027269;0.044480;0.037246;0.043384;0.034094;0.082511
50 years;0.029525;0.037807;0.033063;0.040780;0.033666;0.067920
31.12.2022;EUR;USD;GBP;AUD;CAD;BRL
lyear;0.033967;0.053733;0.047950;0.039829;0.044182;0.131149
S years;0.033724;0.044357;0.043974;0.041657;0.036196;0.126066
10 years;0.033977;0.047839;0.040454;0.045060;0.036268;0.127461
15 years;0.033491;0.047407;0.039538;0.045949;0.035746;0.121634
20 years;0.030931;0.046635;0.038709;0.045840;0.035485;0.111999
25 years;0.029330;0.044814;0.037631;0.045974;0.035329;0.103022
30 years;0.029261;0.042268;0.036912;0.045871;0.035224;0.095456
50 years;0.031461;0.038402;0.038718;0.043762;0.037056;0.076539"
