"BIODIVERSITY 304-1; (2016) Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value; 276
304-3; habitat protected or restored.; 305
304-4; IUCN Red List species and national conservation list species with habitats in areas affected by operations.; 303
EMISSIONS; (2016); 
305-1; Direct (Scope 1) GHG emissions.; 281
305-2; Energy indirect (Scope 2) GHG emissions.; 283
305-3; Other indirect (Scope 3) GHG emissions.; 286
305-4; GHG emissions intensity.; 285
305-5; Reduction of GHG emissions.; 282
WASTE; AND DISCHARGES (2020); 
306-1; Waste generation and significant waste related impacts; 293
306-2; Management of significant waste related impacts.; 293
306-3; Waste generated.; 294
SUPPLIER; ENVIRONMENTAL ASSESSMENT (2016); 
308-1 308-2; New suppliers that were screened using environmental criteria.; 223
; Negative environmental impacts in the supply chain and actions taken; 219"
