pdf name,gri,page nbr,table nbr,question,question_type,question_type_ext,value,row indices,col indices,row/column spanning,firstk,fn_details
axa_2023.pdf,306,183,0,What is the average total waste in tons for the years 2022 and 2023?,QuantitativeResponseGenerator,average,4710.0,"[31, 31]","[2, 3]",0,,"{'type': 'function', 'name': 'average', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
axa_2023.pdf,306,183,0,What is the increase in the amount of unsorted waste (in tons) from 2022 to 2023?,QuantitativeResponseGenerator,increase_difference,802.0,"[32, 32]","[3, 2]",0,,"{'type': 'function', 'name': 'increase_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
axa_2023.pdf,306,183,0,What is the sum of the total waste in tons for the years 2022 and 2023?,QuantitativeResponseGenerator,sum,9420.0,"[31, 31]","[3, 2]",0,,"{'type': 'function', 'name': 'sum', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,311,0,"What is the average of the measured renewable electricity generated in MWh for the years 2023, 2022, and 2021?",QuantitativeResponseGenerator,average,37796.0,"[0, 4]","[3, 3]",1,,"{'type': 'function', 'name': 'average', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,311,0,What is the increase in energy consumption from grid electricity between the years 2022 and 2023?,QuantitativeResponseGenerator,increase_difference,-73774.0,"[3, 8]","[4, 4]",1,,"{'type': 'function', 'name': 'increase_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,311,0,"What is the total estimated energy consumption by source in MWh for the year 2023, calculated by summing the values of grid electricity, purchased renewable electricity, district heating, fuel oil, gas, and coal?",QuantitativeResponseGenerator,sum,119850.0,"[0, 3, 5, 6, 7, 8, 9, 10]","[3, 3, 3, 3, 3, 3, 3, 3]",1,,"{'type': 'function', 'name': 'sum', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,311,0,What is the percentage reduction in measured renewable electricity generated from 2021 to 2023?,QuantitativeResponseGenerator,reduction_percentage,54.65,"[6, 6]","[5, 3]",0,,"{'type': 'function', 'name': 'reduction_percentage', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,311,0,"What is the reduction in grid electricity consumption from 2021 to 2022, given the values of 148720 MWh in 2021 and 107019 MWh in 2022?",QuantitativeResponseGenerator,reduction_difference,58.0,"[7, 7]","[4, 5]",0,,"{'type': 'function', 'name': 'reduction_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,311,0,What is the percentage increase in measured renewable electricity generated from 2022 to 2023?,QuantitativeResponseGenerator,increase_percentage,58.25,"[8, 8]","[3, 4]",0,,"{'type': 'function', 'name': 'increase_percentage', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,311,0,What is the increase in self-generated renewable electricity from 2021 to 2023?,QuantitativeResponseGenerator,increase_difference,-0.0,"[9, 9]","[5, 3]",0,,"{'type': 'function', 'name': 'increase_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,311,0,What is the sum of the self-generated renewable electricity measured in MWh for the years 2022 and 2023?,QuantitativeResponseGenerator,sum,0.0,"[10, 10]","[4, 3]",0,,"{'type': 'function', 'name': 'sum', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,310,1,What is the reduction in estimated total energy consumption from 2022 to 2023?,QuantitativeResponseGenerator,reduction_difference,416701.0,"[10, 20]","[3, 3]",1,,"{'type': 'function', 'name': 'reduction_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,310,1,What is the percentage increase when comparing the estimated total energy consumption in MWh for the year 2022 to that of 2023?,QuantitativeResponseGenerator,increase_percentage,-88.32,"[8, 13]","[3, 3]",1,,"{'type': 'function', 'name': 'increase_percentage', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,310,1,"What is the average estimated total energy consumption from grid electricity, purchased renewable electricity, self-generated renewable electricity, district heating, fuel oil, gas, and renewable fuel and heat for the year 2023?",QuantitativeResponseGenerator,average,229673.09,"[3, 4, 5, 6, 8, 10, 13, 14, 15, 16, 17, 18, 19, 20]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1,,"{'type': 'function', 'name': 'average', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,310,1,"What is the increase between the estimated total energy consumption in 2022 and 2023, given that the values are 1201276 MWh for 2022 and 1124327 MWh for 2023?",QuantitativeResponseGenerator,increase_difference,-82558.7,"[13, 5]","[3, 3]",1,,"{'type': 'function', 'name': 'increase_difference', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,310,1,What is the total estimated energy consumption from renewable sources and non-renewable sources in MWh for the year 2023?,QuantitativeResponseGenerator,sum,897121.0,"[18, 8]","[3, 3]",1,,"{'type': 'function', 'name': 'sum', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,302,310,1,What is the percentage reduction in estimated total energy consumption from 2020 to 2023?,QuantitativeResponseGenerator,reduction_percentage,46.57,"[17, 17]","[3, 6]",0,,"{'type': 'function', 'name': 'reduction_percentage', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
OTC_SU_2023.pdf,303,310,0,What is the average of the total water withdrawals (other than for cooling) for the years 2023 and 2022?,QuantitativeResponseGenerator,average,16106.5,"[2, 2]","[3, 4]",0,,"{'type': 'function', 'name': 'average', 'args': [{'name': 'values', 'default': None}, {'name': 'to_str', 'default': True}], 'keywords': {}}"
