Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
0,"['NYSE_AZ_2023', 'OTC_ESOCF_2023', 'axa_2023']","['60', '137', '179']","['0', '0', '0']",[3280000.  112228.],"['OTC_ESOCF', 'NYSE_AZ']",tCO2e,[2023],What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"3280000.0, 112228.0"
1,"['NYSE_AZ_2023', 'OTC_ESOCF_2023', 'axa_2023']","['60', '137', '179']","['0', '0', '0']",[3280000.  112228.],"['OTC_ESOCF', 'NYSE_AZ']",tCO2e,[2023],Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"OTC_ESOCF, NYSE_AZ"
2,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'munich-re_2023']","['141', '84', '46']","['0', '0', '0']",[142457.  14249.   3193.],"['OTC_ADDDF', 'munich-re', 'NASDAQ_DASTY']",tCO2-eq,[2023],What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,rank,305,"142457.0, 14249.0, 3193.0"
3,"['NYSE_AZ_2023', 'OTC_ESOCF_2023', 'axa_2023']","['60', '137', '179']","['0', '0', '0']",5.1,['OTC_ESOCF'],MtCO2eq,[2022],What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,sup,305,5.1
4,"['NYSE_TTE_2023', 'OTC_SU_2023', 'vivendi_2023']","['387', '309', '140']","['3', '0', '0']",[  8430. 123311.],"['vivendi', 'OTC_SU']",tons,[2022],What are the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,rank,306,"8430.0, 123311.0"
5,"['NASDAQ_DASTY_2023', 'munich-re_2023', 'vivendi_2023']","['141', '46', '105']","['0', '0', '0']",[168709. 770748.],"['NASDAQ_DASTY', 'vivendi']",TCO2eq,[2022],What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"168709.0, 770748.0"
7,"['NASDAQ_DASTY_2023', 'OTC_DPSGY_2023', 'munich-re_2023']","['117', '3', '47']","['0', '0', '1']",71.22,['NASDAQ_DASTY'],million kWh,"[2023, 2022]",What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,sup,302,71.22
9,"['NYSE_TTE_2023', 'OTC_SU_2023', 'vivendi_2023']","['387', '309', '140']","['3', '0', '0']",[  8.43 123.31 322.  ],"['vivendi', 'OTC_SU', 'NYSE_TTE']",kt,[2022],Which companies have the 3 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in kt?,rank,306,"vivendi, OTC_SU, NYSE_TTE"
10,"['OTC_ADDDF_2023', 'munich-re_2023', 'vivendi_2023']","['84', '46', '105']","['0', '0', '0']",[7635784. 3130824.],"['OTC_ADDDF', 'munich-re']",TCO2eq,[2022],What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"7635784.0, 3130824.0"
11,"['OTC_BAYZF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023']","['132', '72', '139']","['0', '0', '0']",6.66,['OTC_BAYZF'],million cubic meters,"[2023, 2022]",Which company has the smallest water consumption from 2022 to 2023 among the following companies in million cubic meters?,sup,303,OTC_BAYZF
14,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'vivendi_2023']","['84', '63', '105']","['0', '0', '0']",[9720000. 7635784.  770748.],"['OTC_BAYZF', 'OTC_ADDDF', 'vivendi']",tons CO2e,[2022],Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,rank,305,"OTC_BAYZF, OTC_ADDDF, vivendi"
15,"['NYSE_TTE_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['381', '374', '47']","['0', '0', '1']",[565200. 329775.],"['NYSE_TTE', 'heidelberg-materials']",TJ,[2023],What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TJ?,rank,302,"565200.0, 329775.0"
