,companies,answer_value,answer_company,unit,years,question,operation,GRI,out
0,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0', 'axa_2023_179_0']",[3280000.  112228.],['OTC_ESOCF' 'NYSE_AZ'],tCO2e,[2023],What are the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"3280000.0, 112228.0"
1,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0', 'axa_2023_179_0']",[3280000.  112228.],['OTC_ESOCF' 'NYSE_AZ'],tCO2e,[2023],Which companies have the 2 highest values of location-based scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2e?,rank,305,"OTC_ESOCF, NYSE_AZ"
2,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0']",[142457.  14249.   3193.],['OTC_ADDDF' 'munich-re' 'NASDAQ_DASTY'],tCO2-eq,[2023],What are the 3 highest values of scope 2 GHG emissions produced in 2023 (sorted in descending order) among the following companies in tCO2-eq?,rank,305,"142457.0, 14249.0, 3193.0"
3,"['NYSE_AZ_2023_60_0', 'OTC_ESOCF_2023_137_0', 'axa_2023_179_0']",5.1,OTC_ESOCF,MtCO2eq,[2022],What is the maximum amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,sup,305,5.1
4,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0', 'vivendi_2023_140_0']",[  8430. 123311.],['vivendi' 'OTC_SU'],tons,[2022],What are the 2 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in tons?,rank,306,"8430.0, 123311.0"
5,"['NASDAQ_DASTY_2023_141_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",[168709. 770748.],['NASDAQ_DASTY' 'vivendi'],TCO2eq,[2022],What are the 2 lowest values of scope 3 GHG emissions produced in 2022 (sorted in ascending order) among the following companies in TCO2eq?,rank,305,"168709.0, 770748.0"
6,"['NYSE_AZ_2023_60_0', 'OTC_RWNEF_2023_79_0', 'axa_2023_179_0']",354651.0,,tCO2eq,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,sum,305,354651.0
7,"['NASDAQ_DASTY_2023_117_0', 'OTC_DPSGY_2023_3_0', 'munich-re_2023_47_1']",71.22,NASDAQ_DASTY,million kWh,"[2023, 2022]",What is the lowest energy consumption over the last 2 years among the following companies in million kWh?,sup,302,71.22
8,"['OTC_CRERF_2023_79_0', 'OTC_SU_2023_309_0', 'heidelberg-materials_2023_358_0']",258228.6,,,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,258228.6
9,"['NYSE_TTE_2023_387_3', 'OTC_SU_2023_309_0', 'vivendi_2023_140_0']",[  8.43 123.31 322.  ],['vivendi' 'OTC_SU' 'NYSE_TTE'],kt,[2022],Which companies have the 3 lowest amounts of non-hazardous waste produced in 2022 (sorted in ascending order) among the following companies in kt?,rank,306,"vivendi, OTC_SU, NYSE_TTE"
10,"['OTC_ADDDF_2023_84_0', 'munich-re_2023_46_0', 'vivendi_2023_105_0']",[7635784. 3130824.],['OTC_ADDDF' 'munich-re'],TCO2eq,[2022],What are the 2 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in TCO2eq?,rank,305,"7635784.0, 3130824.0"
11,"['OTC_BAYZF_2023_132_0', 'OTC_CRERF_2023_72_0', 'OTC_ESOCF_2023_139_0']",6.66,OTC_BAYZF,million cubic meters,"[2023, 2022]",Which company has the smallest water consumption from 2022 to 2023 among the following companies in million cubic meters?,sup,303,OTC_BAYZF
12,"['NYSE_TTE_2023_387_3', 'OTC_BAMGF_2023_311_0', 'OTC_SU_2023_309_0']",2002827,,,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,2002827
13,"['NASDAQ_DASTY_2023_141_0', 'OTC_ADDDF_2023_84_0', 'OTC_RWNEF_2023_79_0']",9224778.0,,tCO2-eq,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,mean,305,9224778.0
14,"['OTC_ADDDF_2023_84_0', 'OTC_BAYZF_2023_63_0', 'vivendi_2023_105_0']",[9720000. 7635784.  770748.],['OTC_BAYZF' 'OTC_ADDDF' 'vivendi'],tons CO2e,[2022],Which companies have the 3 highest values of scope 3 GHG emissions produced in 2022 (sorted in descending order) among the following companies in tons CO2e?,rank,305,"OTC_BAYZF, OTC_ADDDF, vivendi"
15,"['NYSE_TTE_2023_381_0', 'heidelberg-materials_2023_374_0', 'munich-re_2023_47_1']",[565200. 329775.],['NYSE_TTE' 'heidelberg-materials'],TJ,[2023],What are the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TJ?,rank,302,"565200.0, 329775.0"
16,"['NYSE_TTE_2023_381_0', 'OTC_SU_2023_310_1', 'munich-re_2023_47_1']",[157.     1.12],['NYSE_TTE' 'OTC_SU'],TWh,[2023],Which companies have the top 2 highest values of energy consumed in 2023 (sorted in descending order) among the following companies in TWh?,rank,302,"NYSE_TTE, OTC_SU"
