Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
6,"['NYSE_AZ_2023', 'OTC_RWNEF_2023', 'axa_2023']","['60', '79', '179']","['0', '0', '0']",354651.0,[],tCO2eq,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,sum,305,354651.0
8,"['OTC_CRERF_2023', 'OTC_SU_2023', 'heidelberg-materials_2023']","['79', '309', '358']","['0', '0', '0']",258228.6,[],,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,258228.6
12,"['NYSE_TTE_2023', 'OTC_BAMGF_2023', 'OTC_SU_2023']","['387', '311', '309']","['3', '0', '0']",2002827,[],,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,2002827
13,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_RWNEF_2023']","['141', '84', '79']","['0', '0', '0']",9224778.0,[],tCO2-eq,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,mean,305,9224778.0
25,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023']","['60', '84', '137']","['0', '0', '0']",26.26,[],MtCO2eq,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,mean,305,26.26
27,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_RWNEF_2023']","['141', '84', '79']","['0', '0', '0']",345650.0,[],tons CO2e,[2023],What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,sum,305,345650.0
34,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'munich-re_2023']","['84', '63', '46']","['0', '0', '0']",6038082.0,[],tCO2e,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,mean,305,6038082.0
36,"['OTC_ADDDF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['84', '79', '46']","['0', '0', '0']",0.26,[],million mt CO2e,[2022],What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,sum,305,0.26
37,"['OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023']","['63', '137', '179']","['0', '0', '0']",1883570.67,[],tCO2eq,[2023],What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,mean,305,1883570.67
39,"['NASDAQ_DASTY_2023', 'OTC_SU_2023', 'munich-re_2023']","['117', '310', '47']","['0', '1', '1']",3044201,[],MWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in MWh?,sum,302,3044201
40,"['OTC_SU_2023', 'deutsche-telekom-ag_2023', 'munich-re_2023']","['310', '46', '47']","['1', '0', '1']",485951.83,[],,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,485951.83
