Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
1,"['NYSE_AZ_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'axa_2023', 'vivendi_2023']","['60', '137', '79', '179', '105']","['0', '0', '0', '0', '0']",4.13,[],million mt CO2e,[2022],What is the sum of location-based scope 2 GHG emissions in 2022 among the following companies in million mt CO2e?,sum,305,4.13
5,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'vivendi_2023']","['60', '84', '137', '179', '105']","['0', '0', '0', '0', '0']",1065890.2,[],tons CO2e,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,mean,305,1065890.2
8,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'vivendi_2023']","['60', '84', '137', '79', '105']","['0', '0', '0', '0', '0']",20.67,[],MtCO2eq,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,mean,305,20.67
13,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['381', '3', '46', '374', '47']","['0', '0', '0', '0', '1']",606619.71,[],million kWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,sum,302,606619.71
14,"['NASDAQ_DASTY_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['117', '3', '310', '374', '47']","['0', '0', '1', '0', '1']",379059.3,[],,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,379059.3
16,"['NYSE_AZ_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'munich-re_2023', 'vivendi_2023']","['60', '63', '137', '46', '105']","['0', '0', '0', '0', '0']",13.92,[],MtCO2eq,[2023],What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in MtCO2eq?,mean,305,13.92
17,"['NYSE_AZ_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'axa_2023', 'vivendi_2023']","['60', '137', '79', '179', '105']","['0', '0', '0', '0', '0']",3.66,[],million mt CO2e,[2023],What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,sum,305,3.66
18,"['NYSE_TTE_2023', 'OTC_BAMGF_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['387', '311', '309', '358', '140']","['3', '0', '0', '0', '0']",2025651.6,[],,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,2025651.6
23,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",0.28,[],Million metric tons of CO2 equivalents,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,mean,305,0.28
28,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '60', '137', '79', '46']","['0', '0', '0', '0', '0']",14837.29,[],,"[2023, 2022]",What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,mean,305,14837.29
30,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['310', '132', '72', '139', '47']","['0', '0', '0', '0', '0']",12.52,[],millions of m3,"[2023, 2022]",What is the average of total water consumption in the years 2023 and 2022 among the following companies in millions of m3?,mean,303,12.52
35,"['NYSE_AZ_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'vivendi_2023']","['60', '63', '137', '179', '105']","['0', '0', '0', '0', '0']",1.26,[],MtCO2eq,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in MtCO2eq?,mean,305,1.26
37,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'vivendi_2023']","['60', '84', '63', '137', '105']","['0', '0', '0', '0', '0']",1.28,[],Million metric tons of CO2 equivalents,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,mean,305,1.28
39,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'munich-re_2023', 'vivendi_2023']","['141', '63', '137', '46', '105']","['0', '0', '0', '0', '0']",16966056.2,[],tCO2-eq,[2022],What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,mean,305,16966056.2
40,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '84', '63', '79', '46']","['0', '0', '0', '0', '0']",276785.4,[],tCO2e,[2022],What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tCO2e?,mean,305,276785.4
41,"['NYSE_TTE_2023', 'OTC_CRERF_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['387', '79', '309', '358', '140']","['3', '0', '0', '0', '0']",280642.6,[],,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,280642.6
53,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023']","['60', '84', '63', '137', '179']","['0', '0', '0', '0', '0']",1285991.0,[],tCO2eq,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tCO2eq?,mean,305,1285991.0
55,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'prosiebensat1-media_2023']","['117', '381', '310', '46', '64']","['0', '0', '1', '0', '0']",351.04,[],TWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in TWh?,sum,302,351.04
60,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'heidelberg-materials_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['117', '381', '374', '47', '64']","['0', '0', '0', '1', '0']",139583.04,[],,"[2023, 2022]",What is the average energy consumption from 2023 to 2022 among the following companies?,mean,302,139583.04
64,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'vivendi_2023']","['84', '63', '137', '179', '105']","['0', '0', '0', '0', '0']",1283792.2,[],tons CO2e,[2022],What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,mean,305,1283792.2
65,"['OTC_BAMGF_2023', 'OTC_CRERF_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['311', '79', '309', '358', '140']","['0', '0', '0', '0', '0']",2025890.6,[],,"[2023, 2022]",What is the total amount of waste generated from 2022 to 2023 among the following companies?,sum,306,2025890.6
