Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
0,"['NASDAQ_DASTY_2023', 'OTC_DPSGY_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'terna_2023']","['117', '3', '46', '374', '287']","['0', '0', '0', '0', '1']",13.95,['NASDAQ_DASTY'],,"[2023, 2022]",Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,NASDAQ_DASTY
1,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'munich-re_2023', 'prosiebensat1-media_2023', 'terna_2023']","['381', '3', '47', '64', '287']","['0', '0', '1', '0', '1']",[161500.    34774.5     282.31    222.15],"['NYSE_TTE', 'OTC_DPSGY', 'munich-re', 'terna']",GWh,"[2023, 2022]",What are the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in GWh?,multistep_rank,302,"161500.0, 34774.5, 282.31, 222.15"
2,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['141', '387', '309', '358', '140']","['0', '3', '0', '0', '0']",[2.   3.59 6.16],"['heidelberg-materials', 'NASDAQ_DASTY', 'OTC_SU']",,[2022],What are the 3 lowest percentages of hazardous waste generated in 2022 (sorted in ascending order) among the following companies?,multistep_rank,306,"2.0, 3.59, 6.16"
3,"['NASDAQ_DASTY_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'munich-re_2023', 'vivendi_2023']","['141', '84', '63', '46', '105']","['0', '0', '0', '0', '0']",12750000.0,['OTC_BAYZF'],TCO2eq,[2022],What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in TCO2eq?,multistep_sup,305,12750000.0
4,"['NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'terna_2023', 'vivendi_2023']","['387', '309', '358', '295', '140']","['3', '0', '0', '0', '0']",24.01,[],,[2023],What is the average percentage of hazardous waste generated in 2023 among the following companies?,multistep_mean,306,24.01
5,"['NYSE_TTE_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023', 'terna_2023']","['381', '310', '46', '374', '287']","['0', '1', '0', '0', '1']",0.67,['terna'],TWh,"[2023, 2022, 2021]",Which company has the lowest energy consumption over the last 3 years among the following companies in TWh?,multistep_sup,302,terna
6,"['NASDAQ_DASTY_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'prosiebensat1-media_2023']","['117', '3', '310', '46', '64']","['0', '0', '1', '0', '0']",97588.94,[],GWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in GWh?,multistep_sum,302,97588.94
7,"['OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'axa_2023', 'terna_2023']","['84', '137', '79', '179', '286']","['0', '0', '0', '0', '0']",73.65,['OTC_RWNEF'],million mt CO2e,"[2023, 2022]",What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in million mt CO2e?,multistep_sup,305,73.65
8,"['NASDAQ_DASTY_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '63', '137', '79', '46']","['0', '0', '0', '0', '0']",358.82,['OTC_RWNEF'],,[2022],Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_sup,305,OTC_RWNEF
9,"['NASDAQ_DASTY_2023', 'OTC_ESOCF_2023', 'axa_2023', 'munich-re_2023', 'vivendi_2023']","['141', '137', '179', '46', '105']","['0', '0', '0', '0', '0']",133030000.0,['OTC_ESOCF'],tCO2eq,[2022],What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2eq?,multistep_sup,305,133030000.0
10,"['NYSE_AZ_2023', 'OTC_ESOCF_2023', 'axa_2023', 'munich-re_2023', 'vivendi_2023']","['60', '137', '179', '46', '105']","['0', '0', '0', '0', '0']",98830000.0,['OTC_ESOCF'],tCO2eq,[2023],What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2eq?,multistep_sup,305,98830000.0
11,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'terna_2023']","['141', '387', '309', '358', '295']","['0', '3', '0', '0', '0']",[378000.  47652.],"['NYSE_TTE', 'heidelberg-materials']",tons,"[2023, 2022]",What are the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,multistep_rank,306,"378000.0, 47652.0"
12,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'axa_2023']","['141', '60', '84', '137', '179']","['0', '0', '0', '0', '0']",43790000.0,['OTC_ESOCF'],tCO2e,"[2023, 2022]",What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2e?,multistep_sup,305,43790000.0
