Unnamed: 0,pdf name,page nbr,table nbr,answer_value,answer_company,unit,years,question,question_type_ext,gri,value
0,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'OTC_RWNEF_2023', 'munich-re_2023', 'vivendi_2023']","['84', '63', '79', '46', '105']","['0', '0', '0', '0', '0']",[7.36500e+07 1.90000e+06 3.83785e+04 2.18175e+04],"['OTC_RWNEF', 'OTC_BAYZF', 'munich-re', 'OTC_ADDDF']",tCO2e,"[2023, 2022]",Which companies have the 4 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,multistep_rank,305,"OTC_RWNEF, OTC_BAYZF, munich-re, OTC_ADDDF"
1,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'munich-re_2023', 'prosiebensat1-media_2023']","['117', '381', '310', '47', '64']","['0', '0', '1', '1', '0']",326.11,[],TWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in TWh?,multistep_sum,302,326.11
2,"['NASDAQ_DASTY_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'munich-re_2023', 'vivendi_2023']","['141', '137', '79', '46', '105']","['0', '0', '0', '0', '0']",358.82,['OTC_RWNEF'],,[2022],Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,multistep_sup,305,OTC_RWNEF
3,"['NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'munich-re_2023']","['60', '84', '137', '179', '46']","['0', '0', '0', '0', '0']",[4.379e+01 4.000e-02 3.000e-02],"['OTC_ESOCF', 'munich-re', 'NYSE_AZ']",MtCO2eq,"[2023, 2022]",What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in MtCO2eq?,multistep_rank,305,"43.79, 0.04, 0.03"
4,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'munich-re_2023']","['141', '60', '137', '79', '46']","['0', '0', '0', '0', '0']",[73650000. 43790000.],"['OTC_RWNEF', 'OTC_ESOCF']",tCO2e,"[2023, 2022]",What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,multistep_rank,305,"73650000.0, 43790000.0"
5,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'heidelberg-materials_2023', 'munich-re_2023']","['117', '381', '3', '374', '47']","['0', '0', '0', '0', '1']","[7.69920000e+04 2.82307000e+05 3.47745000e+07 9.40060474e+07
 1.61500000e+08]","['NASDAQ_DASTY', 'munich-re', 'OTC_DPSGY', 'heidelberg-materials', 'NYSE_TTE']",MWh,"[2023, 2022]",What are the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,multistep_rank,302,"76992.0, 282307.0, 34774500.0, 94006047.43, 161500000.0"
6,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'munich-re_2023']","['141', '60', '84', '63', '46']","['0', '0', '0', '0', '0']",1900000.0,['OTC_BAYZF'],tons CO2e,"[2023, 2022]",What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,multistep_sup,305,1900000.0
7,"['OTC_BAMGF_2023', 'OTC_BAYZF_2023', 'OTC_CRERF_2023', 'OTC_ESOCF_2023', 'munich-re_2023']","['310', '132', '72', '139', '47']","['0', '0', '0', '0', '0']",40.3,['OTC_ESOCF'],millions of cu.m,"[2023, 2022]",What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in millions of cu.m?,multistep_sup,303,40.3
8,"['NASDAQ_DASTY_2023', 'OTC_ESOCF_2023', 'OTC_RWNEF_2023', 'munich-re_2023', 'vivendi_2023']","['141', '137', '79', '46', '105']","['0', '0', '0', '0', '0']",20.34,[],,"[2023, 2022]",What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,multistep_mean,305,20.34
9,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'axa_2023', 'munich-re_2023', 'vivendi_2023']","['84', '63', '179', '46', '105']","['0', '0', '0', '0', '0']",[10759.5 21490. ],"['vivendi', 'axa']",TCO2eq,"[2023, 2022]",What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in TCO2eq?,multistep_rank,305,"10759.5, 21490.0"
10,"['NYSE_AZ_2023', 'OTC_BAYZF_2023', 'OTC_ESOCF_2023', 'axa_2023', 'munich-re_2023']","['60', '63', '137', '179', '46']","['0', '0', '0', '0', '0']",540925.0,['NYSE_AZ'],tCO2e,"[2023, 2022]",Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,multistep_sup,305,NYSE_AZ
11,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'deutsche-telekom-ag_2023', 'heidelberg-materials_2023']","['381', '3', '310', '46', '374']","['0', '0', '1', '0', '0']",7.64,['deutsche-telekom-ag'],,"[2023, 2022]",Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,multistep_sup,302,deutsche-telekom-ag
12,"['NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['381', '3', '310', '374', '64']","['0', '0', '1', '0', '0']",[161.5   94.01  34.77   1.16],"['NYSE_TTE', 'heidelberg-materials', 'OTC_DPSGY', 'OTC_SU']",TWh,"[2023, 2022]",Which companies have the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,multistep_rank,302,"NYSE_TTE, heidelberg-materials, OTC_DPSGY, OTC_SU"
13,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'heidelberg-materials_2023']","['117', '381', '3', '310', '374']","['0', '0', '0', '1', '0']",153984.0,['NASDAQ_DASTY'],MWh,"[2023, 2022]",Which company has the lowest total energy consumption over the last 2 years among the following companies in MWh?,multistep_sup,302,NASDAQ_DASTY
14,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_DPSGY_2023', 'OTC_SU_2023', 'munich-re_2023']","['117', '381', '3', '310', '47']","['0', '0', '0', '1', '1']",395593201.0,[],MWh,"[2023, 2022]",What is the total energy consumption generated by the following companies in the last 2 years in MWh?,multistep_sum,302,395593201.0
15,"['NASDAQ_DASTY_2023', 'NYSE_TTE_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'prosiebensat1-media_2023']","['117', '381', '310', '374', '64']","['0', '0', '1', '0', '0']",5.6,['OTC_SU'],,"[2023, 2022]",Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,multistep_sup,302,OTC_SU
16,"['OTC_BAMGF_2023', 'OTC_CRERF_2023', 'OTC_SU_2023', 'heidelberg-materials_2023', 'vivendi_2023']","['311', '79', '309', '358', '140']","['0', '0', '0', '0', '0']",5.53,['OTC_SU'],,"[2023, 2022]",Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,multistep_sup,306,OTC_SU
17,"['NASDAQ_DASTY_2023', 'NYSE_AZ_2023', 'OTC_ADDDF_2023', 'OTC_BAYZF_2023', 'axa_2023']","['141', '60', '84', '63', '179']","['0', '0', '0', '0', '0']",2.34,[],,"[2023, 2022]",What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,multistep_mean,305,2.34
