pdf name,gri,page nbr,table nbr,question,question_type_ext,value,row indices,col indices,row/column spanning,metadata
['axa_2023.pdf'],306,[183],[0],Is the maximum amount of total waste higher in 2022 than in 2023?,comparative,yes,"[33, 33]","[3, 4]",0,{'maximise': True}
['axa_2023.pdf'],306,[183],[0],"Among 2019, 2022 and 2023, what are the two lowest amounts of unsorted waste (T) in decreasing order?",rank,"2757.0, 1955.0","[34, 34, 34]","[2, 3, 4]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 0.0}"
['axa_2023.pdf'],306,[183],[0],"What is the minimum total waste in tons recorded in the years 2019, 2022 and 2023?",superlative,4350,"[33, 33, 33]","[4, 3, 2]",0,{'maximise': False}
['axa_2023.pdf'],306,[183],[0],What are the two lowest values of total waste in tons for the years 2019 and 2022 in ascending order?,rank,"5070.0, 7129.0","[33, 33]","[2, 3]",0,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],302,[311],[0],"In 2023, is the amount of Mwh between on site generated renewable electricity higher than energy consumption by heating?",comparative,yes,"[2, 8]","[4, 4]",1,{'maximise': True}
['OTC_SU_2023.pdf'],302,[311],[0],"What are the amounts of energy consumption in MWh for the year 2022, ranked in descending order?",rank,"107019.0, 77831.0, 33245.0, 2829.0, 855.0, 0.0, 0.0, 0.0","[5, 6, 7, 8, 9, 10, 11, 12]","[5, 5, 5, 5, 5, 5, 5, 5]",1,"{'desc': True, 'firstk': 8.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],302,[311],[0],Is the estimated energy consumption from purchased renewable electricity lower than grid electricity in MWh for the year 2023?,comparative,yes,"[6, 5]","[4, 4]",1,{'maximise': False}
['OTC_SU_2023.pdf'],302,[311],[0],"What is the minimum estimated energy consumption from district heating in MWh for the years 2023, 2022, and 2021?",superlative,2490,"[8, 8, 8]","[4, 5, 6]",0,{'maximise': False}
['OTC_SU_2023.pdf'],302,[311],[0],"What are the two lowest values of fuel oil electricity consumption in MWh for the years 2023, 2022 and 2021 in increasing order?",rank,"797.0, 855.0","[9, 9, 9]","[4, 5, 6]",0,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],302,[311],[0],"What is the highest estimated energy consumption from gas in MWh for the years 2021, 2022, and 2023?",superlative,49674,"[10, 10, 10]","[4, 5, 6]",0,{'maximise': True}
['OTC_SU_2023.pdf'],302,[311],[0],"What are the two lowest values in decreasing order of energy consumption from coal measured in MWh for the years 2023, 2022 and 2021?",rank,"0.0, 0.0","[11, 11, 11]","[4, 5, 6]",0,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],302,[311],[0],Is the value of energy consumption from renewable fuel and heat in MWh in 2022 lower than in 2021?,comparative,no,"[12, 12]","[5, 6]",0,{'maximise': False}
['OTC_SU_2023.pdf'],302,[311],[0],Is the estimated energy consumption from purchased renewable electricity higher than the energy consumption from renewable electricity generated on site in MWh in 2023?,comparative,yes,"[6, 2]","[4, 4]",1,{'maximise': True}
['OTC_SU_2023.pdf'],302,[311],[0],What are the two highest values of purchased renewable electricity and gas consumption in MWh for the year 2022 in descending order?,rank,"77831.0, 33245.0","[6, 10]","[5, 5]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['OTC_SU_2023.pdf'],302,[311],[0],"In ascending order, what are the four lowest values of energy consumption by source in MWh in 2023?",rank,"0.0, 0.0, 0.0, 1013.0","[5, 6, 7, 8, 9, 10, 11, 12]","[4, 4, 4, 4, 4, 4, 4, 4]",1,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],302,[311],[0],Is the estimated energy consumption from district heating in MWh in 2021 lower than the one in 2022?,comparative,no,"[8, 8]","[6, 5]",0,{'maximise': False}
['OTC_SU_2023.pdf'],302,[311],[0],"What is the maximum value of fuel oil consumption in MWh for the years 2021, 2022, and 2023?",superlative,1013,"[9, 9, 9]","[4, 5, 6]",0,{'maximise': True}
['OTC_SU_2023.pdf'],302,[311],[0],"What is the minimum estimated energy consumption from gas in MWh for the years 2021, 2022, and 2023?",superlative,21008,"[10, 10, 10]","[4, 5, 6]",0,{'maximise': False}
['OTC_SU_2023.pdf'],302,[311],[0],"What are the three values for the consumption of self-generated renewable electricity measured in MWh for the years 2023, 2022, and 2021 in decreasing order?",rank,"0.0, 0.0, 0.0","[7, 7, 7]","[4, 5, 6]",0,"{'desc': True, 'firstk': 3.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],302,[310],[1],What are the two lowest values of estimated total energy consumption per turnover in MWh/million € for the years 2020 to 2023 in increasing order?,rank,"31.3, 35.1","[7, 7]","[4, 5]",0,"{'desc': False, 'firstk': 2.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],302,[310],[1],"What is the lowest amount of energy consumed in Mwh between 2023, 2022, 2021 and 2020?",superlative,1124327,"[4, 4, 4, 4]","[4, 5, 6, 7]",0,{'maximise': False}
['OTC_SU_2023.pdf'],302,[310],[1],Is the amount of Mwh of measured energy consumption higher than the estimated energy consumption for sites out of reporting perimeter in 2022?,comparative,yes,"[5, 6]","[5, 5]",1,{'maximise': True}
['OTC_SU_2023.pdf'],302,[310],[1],What are the top five amounts of Mwh for energy consumption by source in 2020 in decreasing order?,rank,"585495, 251377, 148969, 27602, 12464","[15, 16, 17, 18, 19, 20, 21, 22]","[7, 7, 7, 7, 7, 7, 7, 7]",1,"{'desc': True, 'firstk': 5.0, 'lowest-highest': 1.0}"
['OTC_SU_2023.pdf'],302,[310],[1],What is the minimum measured energy consumption from fuel oil in MWh for the years 2020 to 2023?,superlative,6520,"[19, 19, 19, 19]","[4, 5, 6, 7]",0,{'maximise': False}
['OTC_SU_2023.pdf'],302,[310],[1],What is the maximum energy consumption by source in 2022?,superlative,588851,"[15, 16, 17, 18, 19, 20, 21, 22]","[5, 5, 5, 5, 5, 5, 5, 5]",1,{'maximise': True}
['OTC_SU_2023.pdf'],302,[310],[1],What is the maximum energy consumption by source in 2020?,superlative,585495,"[15, 16, 17, 18, 19, 20, 21, 22]","[7, 7, 7, 7, 7, 7, 7, 7]",1,{'maximise': True}
['OTC_SU_2023.pdf'],302,[310],[1],Is the estimated total energy consumption in MWh in 2023 lower than in 2022?,comparative,yes,"[4, 4]","[4, 5]",0,{'maximise': False}
['OTC_SU_2023.pdf'],302,[310],[1],What are the values of energy consumption from renewable and non-renewable sources in Mwh in 2021 in descending order?,rank,"670287, 655204","[10, 12]","[6, 6]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],302,[310],[1],Is the estimated total energy consumption from fuel oil in MWh in 2023 lower than the one in 2021?,comparative,no,"[19, 19]","[4, 6]",0,{'maximise': False}
['OTC_SU_2023.pdf'],303,[310],[0],Is the value of surface water withdrawals in cubic meters in 2022 higher than in 2023?,comparative,no,"[4, 4]","[5, 4]",0,{'maximise': True}
['OTC_SU_2023.pdf'],303,[310],[0],What are the amounts of groundwater withdrawals in cubic meters ranked in descending order?,rank,"513631.0, 492308.0, 472199.0, 452602.0","[5, 5, 5, 5]","[4, 5, 6, 7]",0,"{'desc': True, 'firstk': 4.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],303,[310],[0],Is the total water withdrawals from third party sources in cubic meters 2021 lower than in 2023?,comparative,no,"[6, 6]","[6, 4]",0,{'maximise': False}
['OTC_SU_2023.pdf'],303,[310],[0],"What was the minimum amount of water withdrawal between surface water, groundwater, third party or other sources in 2020?",superlative,11578,"[4, 5, 6, 7]","[7, 7, 7, 7]",1,{'maximise': False}
['OTC_SU_2023.pdf'],303,[310],[0],"What are the amounts of non-cooling water withdrawal between surface water, groundwater, third party or other sources in 2021 ranked in ascending order?",rank,"19156, 31870, 513631, 1507606","[4, 5, 6, 7]","[6, 6, 6, 6]",1,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],303,[310],[0],"Other than for cooling, what are the top two values of specific water withdrawal by source from the year 2021, ranked in descending order?",rank,"1507606.0, 513631.0","[4, 5, 6, 7]","[6, 6, 6, 6]",1,"{'desc': True, 'firstk': 2.0, 'lowest-highest': 1.0}"
['OTC_SU_2023.pdf'],303,[310],[0],"What are the four total water withdrawals from third-party sources for the years 2023, 2022, 2021 and 2020 in increasing order?",rank,"1377377.0, 1388474.0, 1446391.0, 1507606.0","[6, 6, 6, 6]","[4, 5, 6, 7]",0,"{'desc': False, 'firstk': 4.0, 'lowest-highest': 0.0}"
['OTC_SU_2023.pdf'],303,[310],[0],"Except for cooling, is the value of water withdrawals from surface waters lower than the amount of water withdrawal from other sources in cubic meters for the year 2020?",comparative,no,"[4, 7]","[7, 7]",1,{'maximise': False}
['OTC_SU_2023.pdf'],303,[310],[0],"Between different non-cooling water withdrawal sources in 2023, what is the highest amount of water withdrawn in m3?",superlative,1377377,"[4, 5, 6, 7]","[4, 4, 4, 4]",1,{'maximise': True}
['OTC_SU_2023.pdf'],303,[310],[0],What was the minimum water withdrawal per million euros for the years 2020 to 2023?,superlative,52.9,"[9, 9, 9, 9]","[4, 5, 6, 7]",1,{'maximise': False}
['OTC_SU_2023.pdf'],303,[310],[0],Is the value of water withdrawn for cooling lower than the value of water not withdrawn for cooling in 2020?,comparative,yes,"[8, 3]","[7, 7]",1,{'maximise': False}
['OTC_SU_2023.pdf'],305,[311],[1],What is the minimum value of the direct (Scope 1) GHG emissions by source in TCO2e for the year 2023?,superlative,0,"[7, 8, 9, 10, 11]","[4, 4, 4, 4, 4]",1,{'maximise': False}
