,index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset,hierarchical
0,55,['NYSE_E_2023.pdf'],[84],[0],305,305-1.1,,What were the direct GHG emissions (Scope 1) in 2021 in mmtonnes CO2 equivalent?,6.72,extra,0
1,1955,['OTC_CRERF_2023.pdf'],[88],[0],308,308-1.1,,What was the percentage of the 100 biggest suppliers committed to a 1.5°C trajectory in 2023?,44,extra,0
2,199,['axa_2023.pdf'],[183],[0],302,302-1.2,,What was the share of renewable electricity in 2023 (%)?,63%,extra,0
3,1359,['munich-re_2023.pdf'],[47],[1],302,302-1.16,,What was the district cooling consumption in megawatt-hour for the year 2023?,4283,extra,0
4,1002,['terna_2023.pdf'],[223],[0],308,308-1.1,,What percentage of total suppliers will be active in 2026?,100,extra,0
5,1442,['OTC_SAPMY_2023.pdf'],[147],[1],305,"305-*.1, 305-*.2",,How much were the GHG emissions for leased assets in 2022 in kilotonnes of CO2?,233,extra,0
6,1271,['OTC_ESOCF_2023.pdf'],[86],[0],305,"305-4.1, 305-1.1, 305-3.1",,What are the expected Scope 1 and Scope 3 GHG emissions related to integrated power for the year 2026 in grams of CO2 equivalent per kilowatt-hour?,135,extra,0
7,468,['NYSE_TTE_2023.pdf'],[619],[0],305,305-3.4,,What was the Scope 3 emissions figure for Europe in 2021 in Mt CO2e?,220,extra,0
8,835,['NASDAQ_DASTY_2023.pdf'],[117],[0],302,302-1.8,,What percentage of renewable energy was reported in 2023?,84,extra,0
9,826,['NASDAQ_DASTY_2023.pdf'],[141],[0],306,306-4.2,,What was the percentage of electric and electronic waste recycled (WEEE) in 2019?,99,extra,0
10,1024,['terna_2023.pdf'],[221],[2],308,308-1.1,,What was the number of contracted suppliers in 2022?,2354,extra,0
11,156,['OTC_ENAKF_2023.pdf'],[45],[0],305,305-2.1,,What was the total CO2 equivalents location based in million metric tons for the year 2023?,70.69,extra,0
12,1531,['vivendi_2023.pdf'],[106],[1],305,"305-1.1, 305-2.3",,What is the expected reduction of GHG emissions (Scope 1 and 2) in 2035 compared to 2018 in %?,-71,extra,0
13,1471,['OTC_SAPMY_2023.pdf'],[154],[0],306,"306-3.2, 306-5.2",,What is the total weight of hazardous waste disposed of in other structures in 2022 in kilotons with reference to the entire group?,97.4,extra,0
