index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset
4,"['OTC_RWNEF_2023', 'munich-re_2023']","['79', '46']","['0', '0']",305,,sum,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.12,multitable2_quant
63,"['heidelberg-materials_2023', 'vivendi_2023']","['358', '140']","['0', '0']",306,,sum,What is the total amount of waste generated from 2022 to 2023 among the following companies?,22824.6,multitable2_quant
10,"['OTC_ESOCF_2023', 'vivendi_2023']","['137', '105']","['0', '0']",305,,mean,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in TCO2eq?,28632509.0,multitable2_quant
0,"['OTC_SU_2023', 'munich-re_2023']","['310', '47']","['1', '1']",302,,sum,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,2890217.0,multitable2_quant
35,"['axa_2023', 'vivendi_2023']","['179', '105']","['0', '0']",305,,sum,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,64465.0,multitable2_quant
61,"['OTC_ESOCF_2023', 'axa_2023']","['137', '179']","['0', '0']",305,,mean,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,2.27,multitable2_quant
28,"['NYSE_AZ_2023', 'vivendi_2023']","['60', '105']","['0', '0']",305,,sum,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2e?,134270.0,multitable2_quant
12,"['OTC_ADDDF_2023', 'OTC_RWNEF_2023']","['84', '79']","['0', '0']",305,,mean,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,121146.5,multitable2_quant
69,"['OTC_CRERF_2023', 'OTC_SU_2023']","['79', '309']","['0', '0']",306,,sum,What is the total amount of waste generated from 2022 to 2023 among the following companies?,256799.0,multitable2_quant
64,"['NYSE_AZ_2023', 'munich-re_2023']","['60', '46']","['0', '0']",305,,mean,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,1568090.0,multitable2_quant
34,"['OTC_SU_2023', 'munich-re_2023']","['310', '47']","['1', '1']",302,,mean,What is the average energy consumption from 2023 to 2022 among the following companies?,722554.25,multitable2_quant
42,"['OTC_ADDDF_2023', 'OTC_BAYZF_2023']","['84', '63']","['0', '0']",305,,sum,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1262293.0,multitable2_quant
49,"['OTC_ADDDF_2023', 'axa_2023']","['84', '179']","['0', '0']",305,,mean,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tons CO2e?,86584.5,multitable2_quant
18,"['NYSE_AZ_2023', 'OTC_ADDDF_2023']","['60', '84']","['0', '0']",305,,mean,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,86391.5,multitable2_quant
9,"['NASDAQ_DASTY_2023', 'OTC_RWNEF_2023']","['141', '79']","['0', '0']",305,,mean,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.1,multitable2_quant
22,"['NASDAQ_DASTY_2023', 'munich-re_2023']","['141', '46']","['0', '0']",305,,mean,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,1609479.0,multitable2_quant
5,"['heidelberg-materials_2023', 'prosiebensat1-media_2023']","['374', '64']","['0', '0']",302,,mean,What is the average energy consumption from 2023 to 2022 among the following companies?,169227.34,multitable2_quant
