index,pdf name,page nbr,table nbr,gri,gri_finegrained,question_type_ext,question,value,original_dataset
100,['OTC_SAPMY_2023.pdf'],[144],[0],302,,ratio_average,"Between direct and indirect group energy consumption, what is the average of the percentage ratios from 2023 to 2021?",77.81,step
136,['OTC_SU_2023.pdf'],[311],[1],305,,sum_average,"Between scope 1+2 market based emissions and scope 2 emissions, what is the average of the sums in the years 2022 to 2023?",315289.5,step
78,['OTC_SU_2023.pdf'],[310],[0],303,,ratio_average,What is the average of the percentage ratios from 2021 to 2023 between water withdrawn except for cooling and water withdrawn for cooling?,108.62,step
56,['NYSE_TTE_2023.pdf'],[306],[3],305,,average_sup,"What is the value of the lowest average in the years 2023, 2021 between operated and not operated intensity of GHG emissions?",17,step
97,['OTC_SAPMY_2023.pdf'],[144],[0],302,,sum_sup,"Between direct and indirect energy consumption, what is the value of the lowest sum in the years 2021 (group), 2023 (full consolidated), 2021 (full consolidated), 2023 (group), 2022 (full consolidated)?",2166,step
29,['OTC_SU_2023.pdf'],[311],[1],305,,average_sum,"Between grid and renewable electricity emissions, what is the sum of the averages in the years 2021, 2022, 2023, 2020?",57021.25,step
104,['OTC_SAPMY_2023.pdf'],[147],[0],305,,sum_ranking,"Between location based and target based emissions, what are the top 2 lowest sums (in descending order) in the years 2022, 2023 for fully consolidated and 2023 for group emissions?","16429.5, 16427.2",step
82,['OTC_SU_2023.pdf'],[311],[1],305,,ratio_ranking,Which are the top 2 highest percentage ratios (in descending order) from the year 2021 to 2023 between vehicle and SF6 emissions?,"145.19, 101.94",step
162,['OTC_SAPMY_2023.pdf'],[147],[0],305,,sum_average,"Between location based and market based emissions, what is the average of the sums in full consolidated and group scenarios in 2023?",12786.85,step
108,['NYSE_TTE_2023.pdf'],[306],[3],305,,ratio_ranking,What are the top 2 highest percentage ratios (in descending order) from the year 2022 to 2023 between operated and not operated intensity emissions?,"105.56, 100.0",step
19,['OTC_SU_2023.pdf'],[310],[1],302,,ratio_ranking,"Between the energy consumption from renewable and non renewable sources, which are the top 2 lowest percentage ratios (in descending order) from the year 2023 to 2022?","102.7, 81.38",step
42,['OTC_SAPMY_2023.pdf'],[144],[0],302,,ratio_average,What is the average of the percentage ratios from 2022 (full consolidated) to 2023 (group between direct and indirect consumption of energy?,106.35,step
15,['OTC_SU_2023.pdf'],[311],[1],305,,sum_average,"Between scope 2 and scope 3 emissions, what is the average of the sums in the years 2020 and 2023?",61391666,step
67,['OTC_SU_2023.pdf'],[310],[0],303,,ratio_average,"Between the total water withdrawn except for cooling and water withdrawn for cooling, what is the average of the percentage ratios from 2022 to 2020?",89.75,step
24,['OTC_SU_2023.pdf'],[310],[0],303,,average_sum,"Between total water withdrawn and water withdrawn for cooling, what is the sum of the averages in the years 2021, 2020?",2830049,step
31,['OTC_SU_2023.pdf'],[309],[0],306,,sum_average,What is the average of the sums in the years 2023 to 2022 between non hazardous waste and non hazardous recycled waste?,228518.5,step
131,['OTC_SU_2023.pdf'],[310],[1],302,,sum_average,What is the average of the sums in the years 2020 and 2022 between self generated and purchased renewable electricity?,603764.5,step
51,['OTC_SAPMY_2023.pdf'],[145],[0],302,,ratio_average,"Between electricity consumed from the grid and electricity consumed from the grid, but produced by renewable sources, what is the average of the percentage ratios from 2021 (full consolidated) to 2021 (group total)?",68.28,step
101,['OTC_SAPMY_2023.pdf'],[144],[0],302,,average_ranking,"Between direct and indirect energy consumption, which are the top 2 highest averages (in descending order) in the years 2021, 2022, 2023 for the group consumption and 2022, 2023 for fully consolidated?","15060.6, 499.2",step
16,['OTC_SU_2023.pdf'],[311],[1],305,,sum_sup,"What is the value of the highest sum in the years 2020, 2021, 2022 between scope 1 and scope 3 emissions?",195296755,step
76,['OTC_SU_2023.pdf'],[310],[0],303,,average_sup,"Between surface and groundwater withdrawal, what is the value of the highest average in the years 2020, 2023?",462400.5,step
18,['OTC_SU_2023.pdf'],[311],[1],305,,ratio_ranking,"Which are the top 2 highest percentage ratios (in ascending order) from the year 2022 to 2020 between scope 1, 2 and 3 emissions?","83.89, 92.42",step
12,['OTC_SU_2023.pdf'],[310],[0],303,,ratio_sup,"Between the total water withdrawn and the water withdrawn for cooling, what is the value of the lowest percentage ratio from 2020 to 2023?",95.92,step
9,['OTC_SU_2023.pdf'],[311],[0],302,,sum_ranking,"Between different sources of energy consumption, what are the top 6 highest sums (in descending order) in the years 2022, 2023?","199398.0, 150463.0, 54253.0, 5319.0, 1868.0, 0.0",step
132,['OTC_SU_2023.pdf'],[310],[0],303,,average_ranking,"Which are the top 2 highest averages (in descending order) in the years 2021, 2022, 2020, 2023 between surface and groundwater withdrawal?","482685.0, 17207.5",step
75,['OTC_SU_2023.pdf'],[310],[1],302,,average_ranking,"Which are the top 2 lowest averages (in descending order) in the years 2022, 2020, 2023, 2021 between purchased and self generated renewable electricity?","599428.0, 18059.5",step
135,['OTC_SU_2023.pdf'],[310],[0],303,,sum_ranking,"Between the water withdrawn not for cooling and the water withdrawn for cooling, which are the top 2 highest sums (in descending order) in the years 2023, 2021, 2022?","5893022.0, 2315964.0",step
60,['NYSE_TTE_2023.pdf'],[383],[1],305,,ratio_average,"Between upstream and downstream transportation, what is the average of the percentage ratios from 2023 to 2022?",94.44,step
55,['OTC_SAPMY_2023.pdf'],[147],[0],305,,ratio_average,What is the average of the percentage ratios from 2021 to 2023 between location based and market based group total emissions?,41.31,step
146,['OTC_SU_2023.pdf'],[309],[0],306,,average_sum,"Between reused and incinerated non hazardous waste, what is the sum of the averages in the years 2021, 2022?",120400,step
30,['OTC_SU_2023.pdf'],[311],[1],305,,ratio_ranking,Which are the top 2 lowest percentage ratios (in descending order) from the year 2020 to 2023 between scope 2 and 3 emissions?,"162.35, 115.84",step
140,['OTC_SU_2023.pdf'],[311],[1],305,,average_sup,"What is the value of the highest average in the years 2022, 2023 between the grid electricity and renewable electricity scope 2 emissions?",44575,step
119,['OTC_SU_2023.pdf'],[310],[1],302,,ratio_sup,"Between grid electricity, purchased and self generated renewable electricity, what is the value of the lowest percentage ratio from 2021 to 2020?",89.13,step
85,['OTC_SU_2023.pdf'],[309],[0],306,,average_sum,"What is the sum of the averages in the years 2021, 2023 between non hazardous waste and non hazardous reused waste?",232988,step
157,['OTC_SAPMY_2023.pdf'],[144],[0],302,,sum_average,"Between direct and indirect group energy consumption, what is the average of the sums in the years 2022 to 2021?",16112,step
2,['NYSE_TTE_2023.pdf'],[383],[1],305,,sum_ranking,"Between purchased goods and downstream transportation, what are the top 2 highest sums (in ascending order) in the years 2022, 2023?","2.0, 57.0",step
118,['NYSE_TTE_2023.pdf'],[387],[0],305,,ratio_ranking,"Between NMVOC and Nox emissions, what are the top 2 lowest percentage ratios (in descending order) from the year 2023 to 2020?","93.75, 62.32",step
112,['NYSE_TTE_2023.pdf'],[383],[1],305,,average_sup,"Between downstream and upstream transportation, what is the value of the lowest average in the years 2023, 2022?",1,step
68,['OTC_SU_2023.pdf'],[310],[0],303,,average_sum,"Between the total water withdrawn except for cooling and water withdrawn for cooling, what is the sum of the averages in the years 2020, 2022, 2023, 2021?",2729304.75,step
133,['OTC_SU_2023.pdf'],[310],[0],303,,sum_ranking,"Between total and surface water withdrawn, what are the top 2 lowest sums (in ascending order) in the years 2023, 2021?","36855.0, 3971453.0",step
45,['OTC_SAPMY_2023.pdf'],[144],[0],302,,average_sum,"Between direct and indirect consumption of energy, what is the sum of the averages in the years 2023 (full consolidated), 2022 (group)?",15902,step
26,['OTC_SU_2023.pdf'],[311],[1],305,,sum_ranking,"Which are the top 2 highest sums (in descending order) in the years 2023, 2021, 2022, 2020 between scope 1 emissions and gas emissions?","515345.0, 195212.0",step
142,['OTC_SU_2023.pdf'],[309],[0],306,,sum_ranking,"Which are the top 2 lowest sums (in descending order) in the years 2020, 2022, 2023 between non hazardous waste and non hazardous waste recycled?","357484.0, 330371.0",step
84,['OTC_SU_2023.pdf'],[311],[1],305,,average_ranking,"Between scope 2 and 3 emissions, what are the top 2 highest averages (in descending order) in the years 2022, 2023, 2021, 2020?","63018679.75, 124373.0",step
95,['OTC_SAPMY_2023.pdf'],[144],[0],302,,ratio_ranking,What are the top 2 highest percentage ratios (in descending order) from the year 2023 to 2021 between indirect and direct group consumption of energy?,"101.15, 54.48",step
93,['OTC_SAPMY_2023.pdf'],[144],[0],302,,ratio_ranking,Which are the top 2 highest percentage ratios (in descending order) from the year 2021 (group) to 2022 (full consolidated between direct and indirect energy consumption?,"182.11, 88.34",step
36,['OTC_SU_2023.pdf'],[309],[0],306,,average_sup,"What is the value of the lowest average in the years 2023, 2021 between reused and incinerated non hazardous waste?",6917.5,step
109,['NYSE_TTE_2023.pdf'],[387],[0],303,,sum_sup,"What is the value of the lowest sum in the years 2022, 2019, 2020 between fresh water withdrawal from cooling water and total fresh water consumption?",226,step
22,['OTC_SU_2023.pdf'],[310],[0],303,,ratio_ranking,"Between surface and groundwater withdrawal, which are the top 2 lowest percentage ratios (in descending order) from the year 2021 to 2022?","131.98, 104.33",step
