index,question,value,response,correct
0,What was the total energy consumption within the organization in millions of GJ in 2023?,516.2,516.2,True
1,How much electricity was produced from renewable sources in Gwh in 2022?,2836,4.242,False
3,How much electricity was sold to other companies in millions of GJ in 2023?,192.7,192.7,True
4,What was the percentage of energy intensity index for the organization in 2023?,123,123.0,True
5,What was the total energy consumption from renewable energy sources in millions of GJ in 2021?,1.5,1.3,False
6,What was the total energy consumption within the organization in millions of GJ in 2022?,503.2,516.2,False
7,How much heating was sold to other companies in millions of GJ in 2023?,5.2,171.4,False
9,How much electricity was produced from renewable sources in Gwh in 2021?,1.166,4.242,False
20,What was the total water withdrawal in 2023 (million m3)?,1224,1435.26,False
21,How much seawater was withdrawn in 2022 (million m3)?,1283,1089.0,False
22,What was the total freshwater withdrawal in 2021 in million m3?,117,144.2,False
23,What was the total water withdrawal from surface water bodies in 2023 in million m3?,97,124.0,False
24,How much water was withdrawn from underground sources in 2022 in million m3?,17,14.0,False
25,What was the total water discharge in 2023 (million m3)?,1118,1118.0,True
26,What was the total volume of freshwater discharge in areas with water stress in 2022 (million m3)?,18.8,54.1,False
27,What was the total water consumption in 2023 in million m3?,128,128.0,True
28,How much total water consumption was recorded in areas with water stress in 2021 (million m3)?,34.3,128.0,False
29,What was the total volume of water discharge in areas with water stress in 2023 in million m3?,25.3,54.1,False
30,What is the total number of species listed on the IUCN Red List with habitats in areas affected by the organization's operations in 2023?,1,13.0,False
31,How many KBAs are there in areas affected by the organization's operations in 2023?,8,13.0,False
32,What is the total number of Natura 2000 sites in areas affected by the organization's operations in 2023?,11,68.0,False
33,What is the number of Other Protected Areas in areas affected by the organization's operations in 2023?,12,17.0,False
34,How many Ramsar sites are there in areas affected by the organization's operations in 2023?,2,2.0,True
36,What was the total amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2023?,38.69,200.0,False
37,How many tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2023?,0.73,73.0,False
41,What was the amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2022?,39.39,38.69,False
42,What was the total amount of indirect GHG emissions (Scope 2) in million tonnes of CO2 equivalent for the year 2021?,0.81,0.73,False
43,How many million tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2022?,0.79,0.73,False
44,What was the total amount of direct methane emissions (Scope 1) in thousands of tonnes for the year 2023?,39.1,49.1,False
45,What was the total amount of electricity produced from renewable sources in GWh for the year 2022?,2863,4.242,False
46,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2023?,8.9,9.9,False
47,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2022?,9.9,9.9,True
48,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2021?,11,9.9,False
49,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2023 in million tonnes CO2 eq.?,26.1,28.5,False
50,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2022 in million tonnes CO2 eq.?,29.9,26.1,False
51,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2021 in million tonnes CO2 eq.?,33.6,26.1,False
52,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2023?,398,456.0,False
53,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2022?,419,456.0,False
54,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2021?,456,456.0,True
55,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2023?,65.6,66.3,False
56,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2022?,66.3,66.3,True
57,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2021?,66.5,66.3,False
64,What was the net carbon footprint upstream (Scope 1+2) in mmtonnes CO2eq for the year 2023?,8.9,9.9,False
65,What was the net carbon footprint Eni (Scope 1+2) in mmtonnes CO2eq for the year 2022?,29.9,26.1,False
66,How much were the indirect GHG emissions (Scope 3) other than those due to purchases from other companies in tonnes of CO2 equivalent for the year 2023?,174,174000000.0,False
67,What were the net GHG emissions (Scope 1+2+3) in tonnes of CO2 equivalent for the year 2022?,194,200.0,False
