index,question,value,response,correct
0,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,otc_crerf, otc_crerf,True
1,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,60.1, 60.10,True
2,Which company has the highest average energy consumed in the last 2 years among the following companies in MWh?,deutsche-telekom-ag, nasdaq_dasty,False
3,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,vivendi, vivendi,True
4,Which company has the lowest total energy consumption over the last 2 years among the following companies in GWh?,prosiebensat1-media, prosiebensat.1 media,False
5,Which companies have the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in kt?,"otc_su, nyse_tte"," otc_su, nyse_tte",True
6,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag, deutsche telekom ag,False
7,Which companies have the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in kt?,"nyse_tte, otc_su"," nyse_tte, otc_su",True
8,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,0.87, 0.87,True
9,What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2eq?,959708.0, 95550.00,False
10,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,4944652.5, 4949652.50,False
11,Which company has the lowest total energy consumption over the last 3 years among the following companies in TJ?,otc_dpsgy, otc_dpsgy,True
12,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in Million metric tons of CO2 equivalents?,"1.9, 0.04"," 1.91, 1.89",False
13,Which company has the highest percentage of hazardous waste generated in 2022 among the following companies?,otc_su, gri,False
14,What is the highest percentage of hazardous waste generated in 2023 among the following companies?,7.92, 6.10%,False
15,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,61.05, 61.00,False
16,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,otc_esocf, otc_esocf,True
17,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,25647984, 25494000.00,False
18,Which companies have the top 2 highest water consumption values (in descending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,"otc_crerf, otc_bamgf"," otc_crerf, otc_bamgf",True
19,What are the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"7.92, 6.0"," 6.00, 0.18",False
20,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,98.83, 95.55,False
21,Which company has the highest average amount of waste generated in the years 2023 and 2022 among the following companies in t?,otc_bamgf, otc_bamgf,True
22,What is the highest percentage of hazardous compared to non-hazardous waste produced in 2023 among the following companies?,63.32, 63.31,False
23,What is the average percentage of hazardous waste generated in 2023 among the following companies?,6.05, 6.05,True
24,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,otc_rwnef, munich-re,False
25,What is the lowest total energy consumption over the last 3 years among the following companies in TJ?,360126.0, 109743.60,False
26,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,358.82, 3.58,False
27,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tons CO2e?,"axa, otc_adddf"," axa, otc_adddf",True
28,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2eq?,"4327.0, 21490.0"," 4178.00, 4476.00",False
29,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in TCO2eq?,21490.0, 21490.00,True
30,Which companies have the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,"otc_su, vivendi"," gri, vivendi",False
31,What is the largest percentage of energy consumption from renewable sources in 2023 among the following companies?,62.9, 62.90%,True
32,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in Million metric tons of CO2 equivalents?,133.03, 129.21,False
33,Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"nasdaq_dasty, otc_su"," 76492.00, 1162801.50",False
34,What is the lowest total energy consumption over the last 2 years among the following companies in MWh?,564614, 122410.00,False
35,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2eq?,axa, otc_esocf,False
36,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tonnes?,10697.5, 10697.50,True
37,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in Million metric tons of CO2 equivalents?,otc_esocf, otc_esocf,True
38,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2e?,38378.5, 38378.50,True
39,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,axa, axa,True
40,Which companies have the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2eq?,"axa, vivendi"," axa, vivendi",True
41,What is the average amount of hazardous waste obtained by summing the values related to the years 2023 and 2022 among the following companies in kt?,25.7, 23.85,False
42,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,5.72, 11.52,False
43,Which company has the highest change in the percentage consumption of energy from renewable sources between the years 2023 and 2022 for the following companies?,otc_dpsgy, otc_dpsgy,True
44,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,otc_rwnef, otc_rwnef,True
45,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in million mt CO2e?,83.7, 83.70,True
46,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,17.59, 17.59,True
47,Which companies have the top 2 highest values of average energy consumed in the last 4 years (sorted in descending order) among the following companies in TWh?,"nyse_tte, otc_su"," otc_su, nyse_tte",False
48,What are the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in millions of m3?,"9.89, 80.6"," 9889305.00, 80600000.00",False
49,Which company has the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,prosiebensat1-media, prosiebensat1-media,True
50,Which company has the lowest percentage variation of waste generated from 2022 to 2023 among the following companies?,nyse_tte, heidelberg materials,False
51,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,otc_esocf, otc_esocf,True
52,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,109300000.0, 3086777.00,False
53,Which company has the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2-eq?,otc_bayzf, nasdaq_dasty,False
54,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,0.7, -0.70,True
55,Which companies have the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tons CO2e?,"nyse_az, otc_adddf"," nyse_az, otc_adddf",True
56,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in million cubic meters?,6.72, 6.73,False
57,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,munich-re, munich-re,True
58,What are the top 2 highest values of average energy consumed in the last 3 years (sorted in ascending order) among the following companies in MWh?,"1217031.33, 96302762.23"," 98000.00, 1213698.00",False
59,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,7.64, -7.63%,False
60,Which company has the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,otc_su, otc_su,True
61,Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"vivendi, heidelberg-materials"," heidelberg materials, vivendi",False
62,What are the 2 lowest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in ascending order) among the following companies in kt?,"15.66, 378.0"," 15.66, 378.00",True
63,What is the lowest total energy consumption over the last 4 years among the following companies in MWh?,4867939.0, 618000.00,False
64,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tCO2e?,7799933.0, 7799933.00,True
65,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,69615.35, 69615.35,True
66,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,1.24, 1.25,False
67,What is the maximum average percentage consumption of energy from renewable sources in the years 2023 and 2022 among the following companies?,66.59, 67.03,False
68,What is the average percentage of energy consumption from renewable sources in 2023 among the following companies?,5.0, 5.01,False
69,Which company has the highest average energy consumed in the last 2 years among the following companies in TWh?,nyse_tte, nyse_tte,True
70,What are the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TJ?,"338421.5, 1016.31"," 338421.50, 1015.91",False
71,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,248676.0, 186894.00,False
72,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,32.84, 32.85,False
73,What is the average amount of hazardous waste obtained by summing the values related to the years 2023 and 2022 among the following companies in kt?,196.83, 196.83,True
74,Which company has the largest percentage of energy consumption from renewable sources in 2022 among the following companies?,prosiebensat1-media, prosiebensat1-media,True
75,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,nyse_az, nyse_az,True
76,What are the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in kt?,"378.0, 15.66"," 378.00, 15.66",True
77,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,otc_rwnef, otc_rwnef,True
78,What is the total energy consumption generated by the following companies in the last 2 years in GWh?,26058.61, 25494.00,False
79,What is the lowest total energy consumption over the last 3 years among the following companies in MWh?,3651094.0, 288002.67,False
80,What is the average percentage variation in energy consumption from 2023 to 2022 among the following companies?,10.18, -9.76,False
81,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,220334.0, 220334.00,True
82,What are the top 2 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in TWh?,"0.28, 161.5"," 161.50, 282.31",False
83,Which companies have the top 2 lowest water consumption values (in ascending order) obtained by summing the 2023 and 2022 consumption for the following companies in m3?,"munich-re, otc_bamgf"," munich-re, otc_bamgf",True
84,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in tCO2e?,nyse_az, nasdaq_dasty,False
85,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,10.52, 9.80,False
86,Which companies have the top 2 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in GWh?,"deutsche-telekom-ag, munich-re"," deutsche-telekom-ag, munich-re",True
87,What is the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in million mt CO2e?,0.96, 83.70,False
88,What is the average percentage of hazardous waste generated in 2022 among the following companies?,13.99, 1.12,False
89,What is the average percentage of energy consumption from renewable sources in 2022 among the following companies?,47.2, 47.20,True
90,Which companies have the top 2 highest values of average energy consumed in the last 3 years (sorted in ascending order) among the following companies in TJ?,"otc_dpsgy, heidelberg-materials"," otc_dpsgy, heidelberg-materials",True
