index,question,value,response
0,What is the highest percentage of hazardous waste generated in 2022 among the following companies?,35.34, 35.41
1,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,NASDAQ_DASTY, nasdaq_dasty
2,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,"38378.5, 21490.0, 10759.5"," 43664.00, 33093.00, 21598.00"
3,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in TCO2eq?,OTC_BAYZF, vivendi
4,What is the average percentage of hazardous waste generated in 2022 among the following companies?,11.38, 4.08
5,What is the lowest total energy consumption over the last 2 years among the following companies in MWh?,66350.0, 66350.00
6,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,98.83, 3086.78
7,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,117.97, 1.20
8,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,20.01, -20.02%
9,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,509500.0, 509500.00
10,What are the 2 lowest percentages of hazardous waste generated in 2022 (sorted in ascending order) among the following companies?,"2.0, 25.97"," 0.21, 0.89"
11,What are the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0, 12747000.0"," 76992.00, 127470.00, 282307.00"
12,What is the highest percentage of hazardous waste generated in 2023 among the following companies?,7.92, 6.10%
13,Which companies have the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,"NYSE_TTE, OTC_SU"," nyse_tte, otc_su"
14,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,axa, axa
15,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,OTC_BAYZF, otc_bayzf
16,What is the average percentage of hazardous waste generated in 2023 among the following companies?,17.6, 15.68
17,"What is the average total water consumption across the following companies, calculated as the sum of their 2023 and 2022 consumption in m3?",30466344.0, 30500010.67
18,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"NYSE_AZ, OTC_BAYZF"," otc_bayzf, otc_rwnef"
