index,question,value,response,correct
0,What is the highest percentage of hazardous waste generated in 2022 among the following companies?,35.34,"8091#96.3% |

the corresponding scale is: none |

",False
1,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,nasdaq_dasty,no answer in the response,False
2,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in TCO2eq?,"38378.5, 21490.0, 10759.5","33617#31681#31289 |

### solution
given a table and a list of texts in the following, what is the answer to the question? please predict the answer and store it in a variable named ‘{answer}‘. if there are multiple values, separate them using the ’#’ symbol. if the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. the value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. for non-numerical values, set the value of ‘{scale}‘ to ’none’. finally, present the final answer in the format of """,False
3,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in TCO2eq?,otc_bayzf,otc_bayzf,True
4,What is the average percentage of hazardous waste generated in 2022 among the following companies?,11.38,"7573#8091#8549 | none |

### input
company name: heidelberg-materials

| unnamed: 0                                                                                                     | 2022   | 2023 |   2022 | unit       |
|:---------------------------------------------------------------------------------------------------------------|:-------|:-------|-------:|:-----------|
| biodiversity                                                                                                   | nan    | nan    |  nan   | nan        |
| proportion of quarries sites located near an area of high biodiversity value with biodiversity management plan | 51     | 61   |   43   | %          |
| proportion of quarries with a restoration plan                                                                 | 92     | 76   |   87   | %          |
| sustainable products and solutions                                                                             | nan    | nan    |  nan   | nan        |
| share of revenue from sustainable products                                                                     | 34     | 35   |   31   | %          |
| share of revenue from sustainable products of cement business line                                             | 37     | 39   |   33   | %          |
| number of memberships in green building councils and sustainable infrastructure councils                       | 15     | 14   |   15   | number     |
| circularity                                                                                                    | nan    | nan    |  nan   | nan        |
| production volume of recycled aggregates (100% recycled content)                                               | 3.8    | 4.8   |   3.3   | million t  |
| share of recycled aggregates in total aggregates production                                                    | 1.3    | 1.7   |   1.1   | %          |
| share of alternative raw materials contained in other building materials such as asphalt                       | 12.1   | 12.7   |   9.8   | %          |
| eu taxonomy regulation                                                                                         | nan    | nan    |  nan   | nan        |
| taxonomy-eligible revenue                                                                                      | 52.4   | 53.3   |   51.2   | %          |
| - thereof taxonomy-aligned revenue                                                                             | 0.6    | 0.6   |   0      | %          |
| taxonomy-eligible investments                                                                                  | 62.8   | 68   |   57     | %          |
| - thereof taxonomy-aligned investments                                                                         | 14.2   | 23.3   |   2.9    | %          |
| taxonomy-eligible operating expenses                                                                           | 56.1   | 55.5   |   55.9   | %          |
| - thereof taxonomy-aligned operating expenses                                                                  | 2.6    | 2.6   |   2.9    | %          |
| taxonomy-eligible waste                                                                                       | 1.1    | 1.7   |   1.1   | %          |
| total waste                                                                                                    | 953.1  | 476.5 |   1276.7 | kt         |
| - thereof non-hazardous waste                                                                                 | 93     | 94   |   98     | %          |
| - thereof hazardous waste                                                                                     | 7      | 6   |   7      | %          |
| total waste disposed                                                                                           | nan    | nan    |  nan   | nan        |
| - share of waste sent to incineration                                                                          | n.a.   | n.a.   |    5.8 | %          |
| - share of waste sent to reuse, recycling, recovery                                                            | 39.3   | 69     |   93     | %          |
| - share of waste sent to landfill                                                                              | 47.2   | 5.8    |   47.2   | %          |
| - share of waste sent to other disposal operations                                                             | 6.1    | 6.1    |   6.1    | %          |

company name: otc_su

| waste                                   | unit   |   2023 |   2022 | % change   |
|:----------------------------------------|:-------|-------:|-------:|:-----------|
| total non-recovered weee                | tons   |     84 |    103 | -18%       |
| total recovered weee (a)                | tons   |    691 |   2829 | -76%       |
| total weee (a)                          | tons   |    775 |   2932 | -74%       |
| total hazardous waste (excluding weee)  | tons   |     18 |     26 | -31%       |
| total non-recovered non-h",False
5,What is the lowest total energy consumption over the last 2 years among the following companies in MWh?,66350.0,33.09,False
6,What is the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,98.83,"3086777 |

",False
7,What is the average of the percentage ratios of GHG emissions Scope 1 to Scope 3 in 2023 among the following companies?,117.97,response too long,False
8,What is the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,20.01,22.7,False
9,What is the highest average amount of waste generated in the years 2023 and 2022 among the following companies in tons?,509500.0,"124139#131402 |

",False
10,What are the 2 lowest percentages of hazardous waste generated in 2022 (sorted in ascending order) among the following companies?,"2.0, 25.97",26#18 |,False
11,What are the top 3 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0, 12747000.0","12241#13253#13323 |

",False
12,What is the highest percentage of hazardous waste generated in 2023 among the following companies?,7.92,7573,False
13,Which companies have the 2 highest amounts of hazardous waste obtained by summing the values related to the years 2023 and 2022 (sorted in descending order) among the following companies in tons?,"nyse_tte, otc_su",2023#vivendi#2022#vivendi,False
14,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,axa,"vivendi |

### solution
",False
15,Which company has the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in m3?,otc_bayzf,otc_bayzf,True
16,What is the average percentage of hazardous waste generated in 2023 among the following companies?,17.6,"2023#7573#18 |

the average percentage of hazardous waste generated in 2023 among the following companies is: 18 / 7573 |

",False
17,"What is the average total water consumption across the following companies, calculated as the sum of their 2023 and 2022 consumption in m3?",30466344.0,35.4#45.2 |,False
18,Which companies have the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in tCO2e?,"nyse_az, otc_bayzf",nyse_az#otc_rwnef,False
19,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"1900000.0, 31363.5, 21817.5",1.91#1.89#1.81#1.79#1.77#1.75#1.73#1.71#1.69#1.67#1.65#1.63#1.61#1.59#1.57#1.55#1.53#1.51#1.5 |,False
20,What is the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,5.72,"11228#117472 |

### solution
given a table and a list of texts in the following, what is the answer to the question? please predict the answer and store it in a variable named ‘{answer}‘. if there are multiple values, separate them using the ’#’ symbol. if the value of the ‘{answer}‘ is numerical, predict its scale and store it in a variable named ‘{scale}‘. the value of ‘{scale}‘ can be one of the following: ‘none‘, ‘percent‘, ‘thousand‘, ‘million‘, or ‘billion‘. for non-numerical values, set the value of ‘{scale}‘ to ’none’. finally, present the final answer in the format of """,False
21,Which companies have the 2 highest percentages of hazardous waste generated in 2023 (sorted in descending order) among the following companies?,"nyse_tte, otc_su",2023#otc_su#306-3#7573#306-5#4102 |,False
22,What is the highest total emissions (both direct and indirect) of GHG generated in 2022 among the following companies in tons CO2e?,7799933.0,"779993#3192798 |

",False
23,Which company has the highest total emissions (both direct and indirect) of GHG generated in 2023 among the following companies in MtCO2eq?,otc_esocf,"otc_esocf |

| unnamed: 0                 | unnamed: 1                                                                                  | 2023    | prev. year   | change   |
|:---------------------------|:--------------------------------------------------------------------------------------------|:--------|:-------------|:---------|
| scope                      | source of emission                                                                          | tco2e   | tco2e        | %        |
| scope 1                    | ghg emissions from direct energy consumption                                                | 33093   | 43664        | –24.2    |
| scope 1                    | thereof from business trips with company cars                                               | 10841   | 12330        | –12.1    |
| scope 2                    | ghg emissions from indirect energy consumption                                              | 14249   | 18310        | –22.2    |
| scope 3                   ",False
24,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tCO2eq?,43790000.0,response too long,False
