index,question,value,response
0,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,354651.0,524921
1,What is the total amount of waste generated from 2022 to 2023 among the following companies?,258228.6,"1276.7#953.1 | step | output |
| 1 | Arithmetic |
| 2 | 1276.7#953.1 |
| 3 | 1276.7 + 953.1 |
| 4 | 2229.8 |
| 5 | none |

### Final answer in the format: """
2,What is the total amount of waste generated from 2022 to 2023 among the following companies?,2002827.0,"124139#131402#136816#125292 |

| step | output |
| 1 | Arithmetic |
| 2 | 125292#131402#136816#124139 |
| 3 | (((124139 + 131402) + 136816) + 125292) |
| 4 | 517549 |
| 5 | none |

Finally, present the final answer in the format: """
3,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,9224778.0,No answer in the response
4,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,26.26,63.78
5,What is the sum of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,345650.0,{answer}
6,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,6038082.0,3039435.25
7,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in million mt CO2e?,0.26,0.3
8,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1883570.67,No answer in the response
9,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,3044201.0,250916#313698
10,What is the average energy consumption from 2023 to 2022 among the following companies?,485951.83,12742
11,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2-eq?,7292089.33,84555.67
12,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in million mt CO2e?,0.07,0.2
13,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,418550.0,1.1
14,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,11911.43,"34.51#53.07 | step | output |
| 1 | Arithmetic |
| 2 | 34.51#53.07 |
| 3 | (34.51 + 53.07) / 2 |
| 4 | 43.79 |
| 5 | none |

Finally, present the final answer in the format: """
15,What is the average energy consumption from 2023 to 2022 among the following companies?,37309.33,34774
16,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in MtCO2eq?,3.59,"7929 + 112228 |

#### and its corresponding scale is: million mt CO2e"
17,What is the total energy consumption generated by the following companies in the last 2 years in TJ?,770654.01,"329775#347068 |

### Table
Company name: heidelberg-materials

| Greenhouse gas emissions                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                "
18,What is the sum of GHG emissions Scope 2 in 2022 among the following companies in tons CO2e?,1265617.0,284750
