index,question,value,response
0,Which companies have the 4 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"OTC_RWNEF, OTC_BAYZF, munich-re, OTC_ADDDF","munich-re#OTC_ADDDF#OTC_BAYZF#vivendi |

| Unnamed: 0                 | Unnamed: 1                                                                                  | 2023    | Prev. year   | Change   |
|:---------------------------|:--------------------------------------------------------------------------------------------|:--------|:-------------|:---------|
| Scope                      | Source of emission                                                                          | tCO2e   | tCO2e        | %        |
| Scope 1                    | GHG emissions from direct energy consumption                                                | 33093   | 43664        | –24.2    |
| Scope 1                    | Thereof from business trips with company cars                                               | 10841   | 12330        | –12.1    |
| Scope 2                    | GHG emissions from indirect energy consumption                                              | 14249   | 18310        | –22.2    |
| Scope 3                    | Other indirect GHG emissions                                                                | 3039435 | 3130824      | –2.9     |
| Scope 3                    | GHG emissions from upstream activities                                                      | 22571   | 17731        | 27.3     |
| Scope 3                    | Thereof business trips (excluding those with company cars that are reported within scope 1) | 19466   | 14479        | 34.4     |
| Scope 3                    | Thereof from paper                                                                          | 1020    | 1014         | 0.6      |
| Scope 3                    | Thereof from waste                                                                          | 1781    | 1903         | –6.4     |
| Scope 3                    | Thereof from water                                                                          | 304     | 335          | –9.3     |
| Scope 3                    | GHG emissions from downstream activities                                                    | 3016864 | 3113093      | –3.1     |
| Scope 3                    | Thereof financed GHG emissions                                                              | 3016864 | 3113093      | –3.1     |
| Scope 1-3 - Own operations | Total GHG emissions, scope 1-3 own operations, scope 2 market-based                         | 69913   | 79705        | –12.3    |
| Total Scope                | Total GHG emissions, scope 1-3, scope 2 market-based                                        | 3086777 | 3192798      | –3.3     |

"
1,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,326.11,Response too long
2,Which company has the highest percentage ratio of GHG emissions Scope 1 to Scope 3 in 2022 among the following companies?,OTC_RWNEF,Response too long
3,What are the 3 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in MtCO2eq?,"43.79, 0.04, 0.03",Response too long
4,What are the 2 highest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in descending order) among the following companies in tCO2e?,"73650000.0, 43790000.0",Response too long
5,What are the top 5 highest values of average energy consumed in the last 2 years (sorted in ascending order) among the following companies in MWh?,"76992.0, 282307.0, 34774500.0, 94006047.43, 161500000.0",Response too long
6,What is the highest average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 among the following companies in tons CO2e?,1900000.0,"43664#33093 |

"
7,What is the highest water consumption calculated as the average of the 2023 and 2022 consumption for the following companies in millions of cu.m?,40.3,"4.92448e+06#4.84016e+06 |

"
8,What is the average percentage variation of direct GHG emissions from 2022 to 2023 among the following companies?,20.34,Response too long
9,What are the 2 lowest values of average direct GHG emissions (Scope 1) produced in the years 2023 and 2022 (sorted in ascending order) among the following companies in TCO2eq?,"10759.5, 21490.0",Response too long
10,Which company has the lowest total GHG emissions (both direct and indirect) in the last 2 years among the following companies in tCO2e?,NYSE_AZ,Response too long
11,Which company has the largest percentage variation in energy consumption from 2023 to 2022 among the following companies?,deutsche-telekom-ag,Response too long
12,Which companies have the top 4 highest values of average energy consumed in the last 2 years (sorted in descending order) among the following companies in TWh?,"NYSE_TTE, heidelberg-materials, OTC_DPSGY, OTC_SU",Response too long
13,Which company has the lowest total energy consumption over the last 2 years among the following companies in MWh?,NASDAQ_DASTY,Response too long
14,What is the total energy consumption generated by the following companies in the last 2 years in MWh?,395593201.0,Response too long
