index,question,value,response
0,What was the total energy consumption within the organization in millions of GJ in 2023?,516.2,516.20
1,How much electricity was produced from renewable sources in Gwh in 2022?,2.836,2.84
2,How much electricity was sold to other companies in millions of GJ in 2023?,192.7,192.70
3,What was the percentage of energy intensity index for the organization in 2023?,123,123.00
4,What was the total energy consumption from renewable energy sources in millions of GJ in 2021?,1.5,1.50
5,What was the total energy consumption within the organization in millions of GJ in 2022?,503.2,503.20
6,How much heating was sold to other companies in millions of GJ in 2023?,5.2,5.20
7,How much electricity was produced from renewable sources in Gwh in 2021?,1.166,1.17
8,What was the total water withdrawal in 2023 (million m3)?,1224,1224.00
9,How much seawater was withdrawn in 2022 (million m3)?,1283,1283.00
10,What was the total freshwater withdrawal in 2021 in million m3?,117,117.00
11,What was the total water withdrawal from surface water bodies in 2023 in million m3?,97,97.00
12,How much water was withdrawn from underground sources in 2022 in million m3?,17,17.00
13,What was the total water discharge in 2023 (million m3)?,1118,1118.00
14,What was the total volume of freshwater discharge in areas with water stress in 2022 (million m3)?,18.8,18.80
15,What was the total water consumption in 2023 in million m3?,128,128.00
16,How much total water consumption was recorded in areas with water stress in 2021 (million m3)?,34.3,34.30
17,What was the total volume of fresh water discharge in areas with water stress in 2023 in million m3?,25.2,25.20
18,What is the total number of species listed on the IUCN Red List with habitats in areas affected by the organization's operations in 2023?,1,66.00
19,How many KBAs are there in areas affected by the organization's operations in 2023?,8,42.00
20,What is the total number of Natura 2000 sites in areas affected by the organization's operations in 2023?,11,79.00
21,What is the number of Other Protected Areas in areas affected by the organization's operations in 2023?,12,"2, 8, 12"
22,How many Ramsar sites are there in areas affected by the organization's operations in 2023?,2,5.00
23,What was the total amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2023?,38.69,38.69
24,How many tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2023?,0.73,0.73
25,What was the amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2022?,39.39,39.39
26,What was the total amount of indirect GHG emissions (Scope 2) in million tonnes of CO2 equivalent for the year 2021?,0.81,0.81
27,How many million tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2022?,0.79,0.79
28,What was the total amount of direct methane emissions (Scope 1) in thousands of tonnes for the year 2023?,39.1,39.10
29,What was the total amount of electricity produced from renewable sources in GWh for the year 2022?,2.836,2.84
30,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2023?,8.9,8.90
31,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2022?,9.9,9.90
32,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2021?,11,11.00
33,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2023 in million tonnes CO2 eq.?,26.1,26.10
34,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2022 in million tonnes CO2 eq.?,29.9,29.90
35,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2021 in million tonnes CO2 eq.?,33.6,33.60
36,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2023?,398,398.00
37,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2022?,419,419.00
38,What were the Net GHG Lifecycle Emissions (Scope 1+2+3) in million tonnes CO2 eq. in the year 2021?,456,456.00
39,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2023?,65.6,65.60
40,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2022?,66.3,66.30
41,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2021?,66.5,66.50
42,What was the net carbon footprint upstream (Scope 1+2) in mmtonnes CO2eq for the year 2023?,8.9,8.90
43,What was the net carbon footprint Eni (Scope 1+2) in mmtonnes CO2eq for the year 2022?,29.9,29.90
44,How much were the indirect GHG emissions (Scope 3) other than those due to purchases from other companies in tonnes of CO2 equivalent for the year 2023?,174,174.00
45,What were the net GHG emissions (Scope 1+2+3) in tonnes of CO2 equivalent for the year 2022?,194,194.00
46,What were the net GHG lifecycle emissions (Scope 1+2+3) in tonnes of CO2 equivalent for the year 2021?,456,456.00
47,What was the Net Carbon Intensity (Scope 1+2+3) in gCO2eq./MJ for the year 2023?,65.6,65.60
48,What were the direct GHG emissions (Scope 1) in mmtonnes CO2eq for the year 2022?,39.39,39.39
