index,question,value,response
0,What was the total energy consumption within the organization in millions of GJ in 2023?,516.2,516.2
1,How much electricity was produced from renewable sources in Gwh in 2022?,2836,1.76
3,How much electricity was sold to other companies in millions of GJ in 2023?,192.7,17.1
4,What was the percentage of energy intensity index for the organization in 2023?,123,123
5,What was the total energy consumption from renewable energy sources in millions of GJ in 2021?,1.5,No answer in the response
6,What was the total energy consumption within the organization in millions of GJ in 2022?,503.2,No answer in the response
7,How much heating was sold to other companies in millions of GJ in 2023?,5.2,17.1
9,How much electricity was produced from renewable sources in Gwh in 2021?,1.166,1.166
20,What was the total water withdrawal in 2023 (million m3)?,1224,1224
21,How much seawater was withdrawn in 2022 (million m3)?,1283,No answer in the response
22,What was the total freshwater withdrawal in 2021 in million m3?,117,No answer in the response
23,What was the total water withdrawal from surface water bodies in 2023 in million m3?,97,No answer in the response
24,How much water was withdrawn from underground sources in 2022 in million m3?,17,17
25,What was the total water discharge in 2023 (million m3)?,1118,1118
26,What was the total volume of freshwater discharge in areas with water stress in 2022 (million m3)?,18.8,18.8
27,What was the total water consumption in 2023 in million m3?,128,"128 | none |

###Question:
What was the total water consumption in 2023 in million m3?

###Response:
"
28,How much total water consumption was recorded in areas with water stress in 2021 (million m3)?,34.3,128
29,What was the total volume of water discharge in areas with water stress in 2023 in million m3?,25.3,25.2
30,What is the total number of species listed on the IUCN Red List with habitats in areas affected by the organization's operations in 2023?,1,11
31,How many KBAs are there in areas affected by the organization's operations in 2023?,8,15
32,What is the total number of Natura 2000 sites in areas affected by the organization's operations in 2023?,11,19
33,What is the number of Other Protected Areas in areas affected by the organization's operations in 2023?,12,2
34,How many Ramsar sites are there in areas affected by the organization's operations in 2023?,2,2
36,What was the total amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2023?,38.69,38.69
37,How many tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2023?,0.73,No answer in the response
41,What was the amount of direct GHG emissions (Scope 1) in million tonnes of CO2 equivalent for the year 2022?,39.39,No answer in the response
42,What was the total amount of indirect GHG emissions (Scope 2) in million tonnes of CO2 equivalent for the year 2021?,0.81,194
43,How many million tonnes of CO2 equivalent were emitted indirectly from energy consumption (Scope 2) in 2022?,0.79,194#0.79
44,What was the total amount of direct methane emissions (Scope 1) in thousands of tonnes for the year 2023?,39.1,39.1
45,What was the total amount of electricity produced from renewable sources in GWh for the year 2022?,2863,1.166
46,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2023?,8.9,8.9
47,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2022?,9.9,9.9
48,What was the Net Carbon Footprint upstream (Scope 1+2) in million tonnes CO2eq. for the year 2021?,11,No answer in the response
49,What was the Net Carbon Footprint Eni (Scope1+2) for the year 2023 in million tonnes CO2 eq.?,26.1,26.1
