index,question,value,response
0,What is the average total waste in tons for the years 2022 and 2023?,4710.0,"4350#5070 |

The value of |5070#4350| is 4725 |

The value of |4350#5070| is 4725 |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

The value of |4350#5070| |

