index,question,value,response
0,Is the maximum amount of total waste higher in 2022 than in 2023?,yes, 
1,"Among 2019, 2022 and 2023, what are the two lowest amounts of unsorted waste (T) in decreasing order?","2757.0, 1955.0", 
2,"What is the minimum total waste in tons recorded in the years 2019, 2022 and 2023?",4350,208516 
3,What are the two lowest values of total waste in tons for the years 2019 and 2022 in ascending order?,"5070.0, 7129.0", 
4,"In 2023, is the amount of Mwh between on site generated renewable electricity higher than energy consumption by heating?",yes,92379 
5,"What are the amounts of energy consumption in MWh for the year 2022, ranked in descending order?","107019.0, 77831.0, 33245.0, 2829.0, 855.0, 0.0, 0.0, 0.0",2263 
6,Is the estimated energy consumption from purchased renewable electricity lower than grid electricity in MWh for the year 2023?,yes,92379 
7,"What is the minimum estimated energy consumption from district heating in MWh for the years 2023, 2022, and 2021?",2490,77831.0 million
8,"What are the two lowest values of fuel oil electricity consumption in MWh for the years 2023, 2022 and 2021 in increasing order?","797.0, 855.0", 
9,"What is the highest estimated energy consumption from gas in MWh for the years 2021, 2022, and 2023?",49674, 
10,"What are the two lowest values in decreasing order of energy consumption from coal measured in MWh for the years 2023, 2022 and 2021?","0.0, 0.0", 
11,Is the value of energy consumption from renewable fuel and heat in MWh in 2022 lower than in 2021?,no,2263 
12,Is the estimated energy consumption from purchased renewable electricity higher than the energy consumption from renewable electricity generated on site in MWh in 2023?,yes,92379 
13,What are the two highest values of purchased renewable electricity and gas consumption in MWh for the year 2022 in descending order?,"77831.0, 33245.0",107019 77831 
14,"In ascending order, what are the four lowest values of energy consumption by source in MWh in 2023?","0.0, 0.0, 0.0, 1013.0",renewable fuel and heat 
15,Is the estimated energy consumption from district heating in MWh in 2021 lower than the one in 2022?,no, 
16,"What is the maximum value of fuel oil consumption in MWh for the years 2021, 2022, and 2023?",1013,77831.0 million
17,"What is the minimum estimated energy consumption from gas in MWh for the years 2021, 2022, and 2023?",21008,72632 
18,"What are the three values for the consumption of self-generated renewable electricity measured in MWh for the years 2023, 2022, and 2021 in decreasing order?","0.0, 0.0, 0.0", 
19,What are the two lowest values of estimated total energy consumption per turnover in MWh/million € for the years 2020 to 2023 in increasing order?,"31.3, 35.1",2023 
20,"What is the lowest amount of energy consumed in Mwh between 2023, 2022, 2021 and 2020?",1124327,2023 
21,Is the amount of Mwh of measured energy consumption higher than the estimated energy consumption for sites out of reporting perimeter in 2022?,yes,2023 
22,What are the top five amounts of Mwh for energy consumption by source in 2020 in decreasing order?,"585495, 251377, 148969, 27602, 12464",renewable fuel and heat 
23,What is the minimum measured energy consumption from fuel oil in MWh for the years 2020 to 2023?,6520, 
24,What is the maximum energy consumption by source in 2022?,588851,2022 
25,What is the maximum energy consumption by source in 2020?,585495, 
26,Is the estimated total energy consumption in MWh in 2023 lower than in 2022?,yes,2023 
27,What are the values of energy consumption from renewable and non-renewable sources in Mwh in 2021 in descending order?,"670287, 655204",Estimated total energy consumption from non-renewable sources Estimated total percentage of renewable energy 
28,Is the estimated total energy consumption from fuel oil in MWh in 2023 lower than the one in 2021?,no,2023 
29,Is the value of surface water withdrawals in cubic meters in 2022 higher than in 2023?,no, million
30,What are the amounts of groundwater withdrawals in cubic meters ranked in descending order?,"513631.0, 492308.0, 472199.0, 452602.0",303-1 303-3 303-3 303-3 303-3 
31,Is the total water withdrawals from third party sources in cubic meters 2021 lower than in 2023?,no, million
32,"What was the minimum amount of water withdrawal between surface water, groundwater, third party or other sources in 2020?",11578,17461 452602 million
33,"What are the amounts of non-cooling water withdrawal between surface water, groundwater, third party or other sources in 2021 ranked in ascending order?","19156, 31870, 513631, 1507606",303-3 303-3 303-3 million
34,"Other than for cooling, what are the top two values of specific water withdrawal by source from the year 2021, ranked in descending order?","1507606.0, 513631.0",303-1 303-3 303-3 303-3 
35,"What are the four total water withdrawals from third-party sources for the years 2023, 2022, 2021 and 2020 in increasing order?","1377377.0, 1388474.0, 1446391.0, 1507606.0",303-3 303-3 303-3 million
36,"Except for cooling, is the value of water withdrawals from surface waters lower than the amount of water withdrawal from other sources in cubic meters for the year 2020?",no,768623.0 million
37,"Between different non-cooling water withdrawal sources in 2023, what is the highest amount of water withdrawn in m3?",1377377, million
38,What was the minimum water withdrawal per million euros for the years 2020 to 2023?,52.9, million
39,Is the value of water withdrawn for cooling lower than the value of water not withdrawn for cooling in 2020?,yes, million
40,What is the minimum value of the direct (Scope 1) GHG emissions by source in TCO2e for the year 2023?,0, 
