index,question,value,response,correct
0,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in tCO2-eq?,16966056.2,[3192798.0,False
1,What is the average of total water consumption in the years 2023 and 2022 among the following companies in m3?,12523903.2,otc_bayzf: 45.2,False
2,What is the average amount of GHG emissions Scope 2 in 2023 among the following companies in tons CO2e?,293979.8,19695.0,False
3,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in TCO2eq?,261063.8,14221.0,False
4,What is the total energy consumption generated by the following companies in the last 2 years in TWh?,351.04,"<12241.0>, <13253.0>",False
5,What is the average amount of market-based scope 2 GHG emissions in 2023 among the following companies in tCO2eq?,1160219.6,otc_adddf,False
6,What is the average amount of GHG emissions Scope 3 in 2022 among the following companies in MtCO2eq?,21.28,otc_esocf: 71.0,False
7,What is the average energy consumption from 2023 to 2022 among the following companies?,307238.44,prompt too long,False
8,What is the average of direct GHG emissions from 2022 to 2023 among the following companies?,9313.49,"[otc_esocf>, [otc_rwnef>, [vivendi",False
9,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in tons CO2e?,1283792.2,19496,False
10,What is the average amount of market-based scope 2 GHG emissions in 2022 among the following companies in Million metric tons of CO2 equivalents?,1.28,142293.0,False
11,What is the average energy consumption from 2023 to 2022 among the following companies?,379059.3,otc_dpsgy: 33.27,False
12,What is the average amount of GHG emissions Scope 3 in 2023 among the following companies in tCO2e?,16400239.6,31774.0,False
13,What is the average amount of GHG emissions Scope 2 in 2022 among the following companies in Million metric tons of CO2 equivalents?,0.28,3192798.0,False
14,What is the total energy consumption generated by the following companies in the last 2 years in million kWh?,606619.71,"<27427.0>, <35056.0>",False
15,What is the sum of location-based scope 2 GHG emissions in 2023 among the following companies in million mt CO2e?,3.66,"<22042.0>, <32333.0>",False
