index,question,value,response,correct
0,What is the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023?,6.73, 7.62,False
1,What is the difference between scope 3 and scope 2 indirect GHG emissions in 2022?,60678819.0, 60777819.00,False
2,What is the sum of the self-generated renewable electricity measured in MWh for the years 2022 and 2023?,0.0, 0.00,True
3,What is the percentage decrease in group-realted energy intensity per milion of revenue from 2021 to 2022?,19.05, 19.05,True
4,What is the reduction in indirect GHG emissions from upstream transportation between the years 2022 and 2023?,1.0, 1.00,True
5,What is the average of full consolidated location and market based emissions in the year 2021?,2379.9, 2379.90,True
6,What is the increase in groundwater withdrawals (other than for cooling) from the year 2020 to 2022?,39706.0, 39706.00,True
7,What is the average of the surface water and groudwater withdrawals for the year 2020?,235031.5, 234531.50,False
8,What is the difference between the amount of indirect GHG emissions from gas and those from biofuels in 2022 (in Mt CO2e)?,126.0, 126.00,True
9,What is the average of the Global Energy Efficiency Indicator values for the years 2020 and 2021?,88.6, 88.60,True
10,What is the percentage increment in renewable energy consumption from 2020 to 2023?,100.0, 100.00,True
11,"What is the total GHG emissions intensity for 2022, combining operated upstream oil and gas activities and equity-based upstream oil and gas activities?",36.0, 36.00,True
12,What is the percentage decrease in the total group-level indirect consumption of energy from 2022 to 2023?,48.45, 48.44,False
13,What is the difference between the full consolidated and group-level percentage usage of energy from renewable sources in 2023?,0.16, 0.16,True
14,What is the difference in the total energy consumption when comparing the group related direct and indirect consumption of energy in 2021?,13479.0, 13479.00,True
15,What is the percentage decrease in the GHG emissions from Gas in 2023 compared to 2022?,4.62, 4.62,True
16,What is the reduction between the intensity of methane emissions from operated oil and gas facilities (Upstream) in 2023 and 2021?,0.02, 0.02,True
17,What is the average of the direct and indirect (scope 2) GHG emissions in 2023?,101116.0, 101116.00,True
18,What is the sum of the direct and scope 3 indirect GHG emissions for the year 2023?,56890756.0, 56890756.00,True
19,What is the reduction in offshore continuous water discharges hydrocarbon content from the year 2020 to 2022?,-0.1, -0.10,True
20,"What is the sum of indirect GHG emissions from the category ""Purchased goods and services"" for the years 2022 and 2023?",57.0, 57.00,True
21,What is the sum of the group-related direct and indirect consumption of energy in 2023?,14711.0, 14711.00,True
22,What is the percentage increase in full consolidated location-based emissions from the year 2021 to the year 2022?,54.61, 54.63,False
23,What is the percentage reduction in energy consumption (MWh) from 2022 to 2023?,13.95, 13.95,True
24,"What is the average percentage of electric and electroninc waste recycled across the years 2019, 2021, 2022 and 2023?",98.75, 98.75,True
25,What is the percentage decrease in indirect GHG emissions for grid electricity from 2022 to 2023?,20.53, 20.40,False
26,What is the difference in total water withdrawals (other than for cooling) and those for cooling in 2023?,1085779.0, 1085779.00,True
27,What is the increase between the intensity of GHG emissions (Scope 1+2) of operated upstream oil & gas activities in 2023 and 2022?,0.0, 0.00,True
28,What is the average of the total group-related direct and indirect consumption of energy for the year 2021 in TJ?,7431.5, 14863.00,False
29,What is the difference between metric of tons for total waste and hazardous waste in 2021?,128267.0, 128267.00,True
30,What is the difference of estimated energy consumption between renewable source and non-renewable source in 2021?,15083.0, 13083.00,False
31,What is the difference between total group-related energy consumption and direct consumption of energy in 2022?,696.0, 696.00,True
32,What is the average of the indirect GHG emissions from biofuels in 2022 and 2023?,4.0, 4.00,True
33,What is the average value of the Global Energy Efficiency Indicator (GEEI) from 2015 to 2023?,87.92, 86.25,False
34,What is the sum of SF GHG emissions for the years 2022 and 2023?,8660.0, 8660.00,True
35,What is the average between the total water withdrawals (other than for cooling) and those for cooling in 2020?,1354116.5, 1354116.50,True
36,What is the difference between total and indirect (Scope 2) GHG emissions in 2023?,112792.0, 112792.00,True
37,What is the difference in indirect GHG emissions from petroleum products compared to gas in the year 2023?,103.0, 103.00,True
38,What is the average estimated total energy consumption from renewable sources in MWh for the years 2023 and 2022?,697753.5, 696753.50,False
39,What is the sum of scope 3 GHG emissions in the last 3 years?,1144.0, 1106.00,False
40,What is the total sum of the net primary energy consumption (in TWh) from the years 2015 to 2023?,931.0, 931.00,True
41,What is the total number of pairs of shoes produced containing 'Parley Ocean Plastic' from 2021 to 2023?,45.0, 45.00 million,False
42,What is the average group-level electricity consumed from the grid in MWh for the years 2023 and 2022?,53127.0, 53127.00,True
43,What is the difference in energy consumption (MWh) from 2022 to 2023?,11548.0, 11548.00,True
44,What is the difference between GHG emissions from Oil in 2015 compared to the emissions from Gas in the same year?,290.0, 290.00,True
45,What is the reduction in MWh in grid electricity consumption from 2021 to 2022?,41701.0, 41601.00,False
46,What is the percentage reduction in full consolidated thermal energy consumed from 2022 to 2023?,80.36, 80.25,False
47,"What is the total electricity consumed from the grid (in MWh) across the years 2021 to 2023, considering full consolidated values?",108432.0, 177823.00,False
48,What is the percentage increase in the number of operated sites with annual consumption greater than 50 ktoe from 2020 to 2023?,2.38, 2.38,True
49,What is the percentage reduction in the intensity of methane emissions from operated oil and gas facilities (Upstream) when comparing the values from 2021 to 2022?,15.38, 15.38,True
