index,question,value,response,correct
0,What is the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023?,6.73,"113211#105593 |

the corresponding scale is: none |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 113211 / 105593 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to 2023 is 10.75 |

the percentage reduction of recycled non-hazardous waste from the year 2020 to ",False
1,What is the difference between scope 3 and scope 2 indirect GHG emissions in 2022?,60678819.0,60788549,False
2,What is the sum of the self-generated renewable electricity measured in MWh for the years 2022 and 2023?,0.0,2960#0#72632#0#2490#1013#21008#0 |,False
3,What is the percentage decrease in group-realted energy intensity per milion of revenue from 2021 to 2022?,19.05,"2.1#1.7 |

the corresponding scale is: none |

",False
4,What is the reduction in indirect GHG emissions from upstream transportation between the years 2022 and 2023?,1.0,"8#9 |

### solution
the reduction in indirect ghg emissions from upstream transportation between the years 2022 and 2023 is 8 - 9 |",False
5,What is the average of full consolidated location and market based emissions in the year 2021?,2379.9,2355.9#2662.4,False
6,What is the increase in groundwater withdrawals (other than for cooling) from the year 2020 to 2022?,39706.0,492308#452602,False
7,What is the average of the surface water and groudwater withdrawals for the year 2020?,235031.5,452602#17461 |,False
8,What is the difference between the amount of indirect GHG emissions from gas and those from biofuels in 2022 (in Mt CO2e)?,126.0,no answer in the response,False
9,What is the average of the Global Energy Efficiency Indicator values for the years 2020 and 2021?,88.6,"87.0#85.1 |

the corresponding scale is: none |

",False
